key,scientificName,decimalLatitude,decimalLongitude,issues,datasetKey,publishingOrgKey,installationKey,publishingCountry,protocol,lastCrawled,lastParsed,crawlId,extensions,basisOfRecord,occurrenceStatus,taxonKey,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,acceptedTaxonKey,acceptedScientificName,kingdom,phylum,order,family,genus,genericName,taxonRank,taxonomicStatus,year,month,day,eventDate,lastInterpreted,license,organismQuantity,organismQuantityType,sampleSizeUnit,sampleSizeValue,relativeOrganismQuantity,identifiers,facts,relations,gadm.level0.gid,gadm.level0.name,gadm.level1.gid,gadm.level1.name,gadm.level2.gid,gadm.level2.name,geodeticDatum,class,countryCode,recordedByIDs,mine,country,identificationReferences,http...rs.tdwg.org.dwc.terms.sampleSizeValue,identifier,eventID,http...rs.tdwg.org.dwc.terms.organismQuantity,dynamicProperties,eventRemarks,materialSampleID,gbifID,occurrenceID,http...rs.tdwg.org.dwc.terms.sampleSizeUnit,identificationRemarks,http...rs.tdwg.org.dwc.terms.organismQuantityType,name,depth,depthAccuracy,locality,gadm.level3.gid,gadm.level3.name,modified,references,created,associatedSequences,higherClassification,taxonID,gadm,speciesKey,species,specificEpithet,recordedBy,gadm.gid
2304536597,"Sulfuricella Kojima & Fukui, 2010",39.94,116.34,"gass84,txmathi",ad43e954-dd79-4986-ae34-9ccdbd8bf568,ada9d123-ddb4-467d-8891-806ea8d94230,9e4f3516-2b98-4700-a39a-3f109252508c,GB,DWC_ARCHIVE,2019-08-05T13:47:28.081+0000,2020-09-01T18:10:10.482+0000,128,none,MATERIAL_SAMPLE,PRESENT,9592496,3,111,337,1379,8928,9592496,9592496,"Sulfuricella Kojima & Fukui, 2010",Bacteria,Proteobacteria,Hydrogenophilales,Hydrogenophilaceae,Sulfuricella,Sulfuricella,GENUS,ACCEPTED,2017,4,4,2017-04-04T00:00:00,2020-09-01T18:10:10.482+0000,http://creativecommons.org/licenses/by/4.0/legalcode,NA,NA,NA,NA,NA,none,none,none,CHN,China,CHN.2_1,Beijing,CHN.2.1_1,Beijing,WGS84,Betaproteobacteria,NA,none,none,NA,NA,NA,MH432531,NA,NA,NA,NA,NA,2304536597,MH432531,NA,NA,NA,"Sulfuricella Kojima & Fukui, 2010",NA,NA,China,CHN.2.1.1_1,Beijing,2019-02-14T00:00:00.000+0000,http://www.ebi.ac.uk/ena/data/view/MH432531,2/14/19,MH432531,Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Gallionellaceae;Sulfuricella;environmental samples,1162708,NA,NA,NA,NA,NA,NA
2304635106,"Sulfuricella Kojima & Fukui, 2010",39.94,116.34,"gass84,txmathi",ad43e954-dd79-4986-ae34-9ccdbd8bf568,ada9d123-ddb4-467d-8891-806ea8d94230,9e4f3516-2b98-4700-a39a-3f109252508c,GB,DWC_ARCHIVE,2019-08-05T13:47:28.081+0000,2020-09-01T18:10:23.649+0000,128,none,MATERIAL_SAMPLE,PRESENT,9592496,3,111,337,1379,8928,9592496,9592496,"Sulfuricella Kojima & Fukui, 2010",Bacteria,Proteobacteria,Hydrogenophilales,Hydrogenophilaceae,Sulfuricella,Sulfuricella,GENUS,ACCEPTED,2017,4,4,2017-04-04T00:00:00,2020-09-01T18:10:23.649+0000,http://creativecommons.org/licenses/by/4.0/legalcode,NA,NA,NA,NA,NA,none,none,none,CHN,China,CHN.2_1,Beijing,CHN.2.1_1,Beijing,WGS84,Betaproteobacteria,NA,none,none,NA,NA,NA,MH432541,NA,NA,NA,NA,NA,2304635106,MH432541,NA,NA,NA,"Sulfuricella Kojima & Fukui, 2010",NA,NA,China,CHN.2.1.1_1,Beijing,2019-02-14T00:00:00.000+0000,http://www.ebi.ac.uk/ena/data/view/MH432541,2/14/19,MH432541,Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Gallionellaceae;Sulfuricella;environmental samples,1162708,NA,NA,NA,NA,NA,NA
2310938706,"Sulfuricella Kojima & Fukui, 2010",29.36,116.06,"cudc,gass84,txmathi",ad43e954-dd79-4986-ae34-9ccdbd8bf568,ada9d123-ddb4-467d-8891-806ea8d94230,9e4f3516-2b98-4700-a39a-3f109252508c,GB,DWC_ARCHIVE,2019-08-05T13:47:28.081+0000,2020-09-01T18:10:36.290+0000,128,none,MATERIAL_SAMPLE,PRESENT,9592496,3,111,337,1379,8928,9592496,9592496,"Sulfuricella Kojima & Fukui, 2010",Bacteria,Proteobacteria,Hydrogenophilales,Hydrogenophilaceae,Sulfuricella,Sulfuricella,GENUS,ACCEPTED,2011,5,13,2011-05-13T00:00:00,2020-09-01T18:10:36.290+0000,http://creativecommons.org/licenses/by/4.0/legalcode,NA,NA,NA,NA,NA,none,none,none,CHN,China,CHN.16_1,Jiangxi,CHN.16.5_1,Jiujiang,WGS84,Betaproteobacteria,CN,none,none,China,NA,NA,KF009022,NA,NA,NA,NA,NA,2310938706,KF009022,NA,NA,NA,"Sulfuricella Kojima & Fukui, 2010",NA,NA,China,CHN.16.5.2_1,Duchang,2016-06-23T00:00:00.000+0000,http://www.ebi.ac.uk/ena/data/view/KF009022,1/3/16,KF009022,Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Gallionellaceae;Sulfuricella;environmental samples,1162708,NA,NA,NA,NA,Q.Liu,NA
2311226261,"Sulfuricella Kojima & Fukui, 2010",74.76,-94.08,"cudc,gass84,txmathi",ad43e954-dd79-4986-ae34-9ccdbd8bf568,ada9d123-ddb4-467d-8891-806ea8d94230,9e4f3516-2b98-4700-a39a-3f109252508c,GB,DWC_ARCHIVE,2019-08-05T13:47:28.081+0000,2020-09-01T18:10:35.311+0000,128,none,MATERIAL_SAMPLE,PRESENT,9592496,3,111,337,1379,8928,9592496,9592496,"Sulfuricella Kojima & Fukui, 2010",Bacteria,Proteobacteria,Hydrogenophilales,Hydrogenophilaceae,Sulfuricella,Sulfuricella,GENUS,ACCEPTED,2010,8,1,2010-08-01T00:00:00,2020-09-01T18:10:35.311+0000,http://creativecommons.org/licenses/by/4.0/legalcode,NA,NA,NA,NA,NA,none,none,none,CAN,Canada,CAN.8_1,Nunavut,CAN.8.1_1,Baffin,WGS84,Betaproteobacteria,CA,none,none,Canada,NA,NA,JQ793133,NA,NA,NA,NA,NA,2311226261,JQ793133,NA,NA,NA,"Sulfuricella Kojima & Fukui, 2010",NA,NA,"Canada:Cornwallis Island, NU",CAN.8.1.2_1,"Baffin, Unorganized",2012-05-10T00:00:00.000+0000,http://www.ebi.ac.uk/ena/data/view/JQ793133,5/10/12,JQ793133,Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Gallionellaceae;Sulfuricella;environmental samples,1162708,NA,NA,NA,NA,A.J. Poulain,NA
2304602390,"Sulfuricella Kojima & Fukui, 2010",29.74,116.2,"gass84,txmathi",ad43e954-dd79-4986-ae34-9ccdbd8bf568,ada9d123-ddb4-467d-8891-806ea8d94230,9e4f3516-2b98-4700-a39a-3f109252508c,GB,DWC_ARCHIVE,2019-08-05T13:47:28.081+0000,2020-09-01T18:10:10.181+0000,128,none,MATERIAL_SAMPLE,PRESENT,9592496,3,111,337,1379,8928,9592496,9592496,"Sulfuricella Kojima & Fukui, 2010",Bacteria,Proteobacteria,Hydrogenophilales,Hydrogenophilaceae,Sulfuricella,Sulfuricella,GENUS,ACCEPTED,2010,11,1,2010-11-01T00:00:00,2020-09-01T18:10:10.181+0000,http://creativecommons.org/licenses/by/4.0/legalcode,NA,NA,NA,NA,NA,none,none,none,CHN,China,CHN.16_1,Jiangxi,CHN.16.5_1,Jiujiang,WGS84,Betaproteobacteria,NA,none,none,NA,NA,NA,KC934129,NA,NA,NA,NA,NA,2304602390,KC934129,NA,NA,NA,"Sulfuricella Kojima & Fukui, 2010",NA,NA,China,CHN.16.5.3_1,Hukou,2016-06-23T00:00:00.000+0000,http://www.ebi.ac.uk/ena/data/view/KC934129,1/3/16,KC934129,Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Gallionellaceae;Sulfuricella;environmental samples,1162708,NA,NA,NA,NA,Q.Liu,NA
2440798467,"Sulfuricella Kojima & Fukui, 2010",60.866,25.268,gass84,320c348b-7470-4ef2-9e0a-36d4a527b7b3,ab733144-7043-4e88-bd4f-fca7bf858880,fb5e4c2a-579c-434b-a446-3a665dd732ad,GB,DWC_ARCHIVE,2020-09-01T01:56:55.598+0000,2020-09-01T14:09:34.067+0000,17,none,MATERIAL_SAMPLE,PRESENT,9592496,3,111,337,1379,8928,9592496,9592496,"Sulfuricella Kojima & Fukui, 2010",Bacteria,Proteobacteria,Hydrogenophilales,Hydrogenophilaceae,Sulfuricella,Sulfuricella,GENUS,ACCEPTED,2013,4,29,2013-04-29T00:00:00,2020-09-01T14:09:34.067+0000,http://creativecommons.org/licenses/by/4.0/legalcode,32,DNA sequence reads,DNA sequence reads,884,0.036199095,none,none,none,FIN,Finland,FIN.5_1,Western Finland,FIN.5.5_1,Päijänne Tavastia,WGS84,Betaproteobacteria,FI,none,none,Finland,https://www.ebi.ac.uk/metagenomics/pipelines/4.1,884,MGYA00360328_Bacteria::Proteobacteria:Betaproteobacteria:Nitrosomonadales:Gallionellaceae:Sulfuricella,MGYA00360328,32,"{""geographic location (longitude)"":""25.268"",""geographic location (country and/or sea,region)"":""Finland:Krkl:Jrvel"",""collection date"":""2013-04-29"",""environment (biome)"":""anthropogenic terrestrial biome"",""environment (feature)"":""phreatic zone"",""environment (material)"":""contaminated sediment"",""geographic location (latitude)"":""60.866"",""instrument model"":""Ion Torrent PGM"",""last update date"":""2016-10-21""}",Krkl well 3 spring 2013 extraction replicate A,https://www.ebi.ac.uk/metagenomics/samples/SRS1753718,2440798467,MGYA00360328_Bacteria::Proteobacteria:Betaproteobacteria:Nitrosomonadales:Gallionellaceae:Sulfuricella,DNA sequence reads,SSU rRNA annotated using the taxonomic reference database described here: https://www.ebi.ac.uk/metagenomics/pipelines/4.1. This occurrence appeared in following analyses: SSU taxonomy from analyses https://www.ebi.ac.uk/metagenomics/analyses/MGYA00360328#taxonomic.,DNA sequence reads,"Sulfuricella Kojima & Fukui, 2010",20,0,Krkl,FIN.5.5.1_1,Lahti,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2442006047,"Sulfuricella Kojima & Fukui, 2010",37.27,126.57,gass84,cdeba034-29d1-4625-a6ea-36289b2826b8,ab733144-7043-4e88-bd4f-fca7bf858880,fb5e4c2a-579c-434b-a446-3a665dd732ad,GB,DWC_ARCHIVE,2020-09-01T01:56:47.617+0000,2020-09-01T14:07:36.285+0000,18,none,MATERIAL_SAMPLE,PRESENT,9592496,3,111,337,1379,8928,9592496,9592496,"Sulfuricella Kojima & Fukui, 2010",Bacteria,Proteobacteria,Hydrogenophilales,Hydrogenophilaceae,Sulfuricella,Sulfuricella,GENUS,ACCEPTED,2012,6,1,2012-06-01T00:00:00,2020-09-01T14:07:36.285+0000,http://creativecommons.org/licenses/by/4.0/legalcode,1049,DNA sequence reads,DNA sequence reads,45534,0.02303773,none,none,none,KOR,South Korea,KOR.8_1,Gyeonggi-do,KOR.8.15_1,Hwaseong,WGS84,Betaproteobacteria,KR,none,none,"Korea, Republic of",https://www.ebi.ac.uk/metagenomics/pipelines/4.1,45534,MGYA00358635_Bacteria::Proteobacteria:Betaproteobacteria:Nitrosomonadales:Gallionellaceae:Sulfuricella,MGYA00358635,1049,"{""geographic location (longitude)"":""126.57"",""geographic location (country and/or sea,region)"":""Korea"",""collection date"":""2012-06-01"",""environment (biome)"":""temperate"",""environment (feature)"":""pond"",""environment (material)"":""sediment"",""geographic location (latitude)"":""37.27"",""instrument model"":""Illumina HiSeq 2000"",""last update date"":""2015-06-23""}",This sample has been submitted by Seoul National University on 2015-06-02; sediment metagenome,https://www.ebi.ac.uk/metagenomics/samples/SRS731391,2442006047,MGYA00358635_Bacteria::Proteobacteria:Betaproteobacteria:Nitrosomonadales:Gallionellaceae:Sulfuricella,DNA sequence reads,SSU rRNA annotated using the taxonomic reference database described here: https://www.ebi.ac.uk/metagenomics/pipelines/4.1. This occurrence appeared in following analyses: SSU taxonomy from analyses https://www.ebi.ac.uk/metagenomics/analyses/MGYA00358635#taxonomic.,DNA sequence reads,"Sulfuricella Kojima & Fukui, 2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2441637772,"Sulfuricella Kojima & Fukui, 2010",60.05,17.81,gass84,7b30dd11-75c6-4b1b-8ddc-62a07154a760,ab733144-7043-4e88-bd4f-fca7bf858880,fb5e4c2a-579c-434b-a446-3a665dd732ad,GB,DWC_ARCHIVE,2020-09-01T01:56:57.425+0000,2020-09-01T14:10:05.777+0000,17,none,MATERIAL_SAMPLE,PRESENT,9592496,3,111,337,1379,8928,9592496,9592496,"Sulfuricella Kojima & Fukui, 2010",Bacteria,Proteobacteria,Hydrogenophilales,Hydrogenophilaceae,Sulfuricella,Sulfuricella,GENUS,ACCEPTED,2012,3,23,2012-03-23T00:00:00,2020-09-01T14:10:05.777+0000,http://creativecommons.org/licenses/by/4.0/legalcode,155,DNA sequence reads,DNA sequence reads,7745,0.020012912,none,none,none,SWE,Sweden,SWE.16_1,Uppsala,SWE.16.7_1,Uppsala,WGS84,Betaproteobacteria,SE,none,none,Sweden,https://www.ebi.ac.uk/metagenomics/pipelines/4.1,7745,MGYA00358888_Bacteria::Proteobacteria:Betaproteobacteria:Nitrosomonadales:Gallionellaceae:Sulfuricella,MGYA00358888,155,"{""geographic location (longitude)"":""17.81"",""geographic location (country and/or sea,region)"":""Sweden: Stensjon lake"",""collection date"":""2012-03-23"",""environment (biome)"":""boreal forest"",""environment (feature)"":""lake"",""environment (material)"":""sediment"",""geographic location (latitude)"":""60.05"",""instrument model"":""Illumina MiSeq"",""last update date"":""2015-09-14""}",run4_pool7_sample25,https://www.ebi.ac.uk/metagenomics/samples/SRS1059197,2441637772,MGYA00358888_Bacteria::Proteobacteria:Betaproteobacteria:Nitrosomonadales:Gallionellaceae:Sulfuricella,DNA sequence reads,SSU rRNA annotated using the taxonomic reference database described here: https://www.ebi.ac.uk/metagenomics/pipelines/4.1. This occurrence appeared in following analyses: SSU taxonomy from analyses https://www.ebi.ac.uk/metagenomics/analyses/MGYA00358888#taxonomic.,DNA sequence reads,"Sulfuricella Kojima & Fukui, 2010",7,0,Stensjon lake,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2440797022,"Sulfuricella Kojima & Fukui, 2010",60.866,25.268,gass84,320c348b-7470-4ef2-9e0a-36d4a527b7b3,ab733144-7043-4e88-bd4f-fca7bf858880,fb5e4c2a-579c-434b-a446-3a665dd732ad,GB,DWC_ARCHIVE,2020-09-01T01:56:55.598+0000,2020-09-01T14:09:34.165+0000,17,none,MATERIAL_SAMPLE,PRESENT,9592496,3,111,337,1379,8928,9592496,9592496,"Sulfuricella Kojima & Fukui, 2010",Bacteria,Proteobacteria,Hydrogenophilales,Hydrogenophilaceae,Sulfuricella,Sulfuricella,GENUS,ACCEPTED,2013,4,29,2013-04-29T00:00:00,2020-09-01T14:09:34.165+0000,http://creativecommons.org/licenses/by/4.0/legalcode,29,DNA sequence reads,DNA sequence reads,1831,0.01583834,none,none,none,FIN,Finland,FIN.5_1,Western Finland,FIN.5.5_1,Päijänne Tavastia,WGS84,Betaproteobacteria,FI,none,none,Finland,https://www.ebi.ac.uk/metagenomics/pipelines/4.1,1831,MGYA00360327_Bacteria::Proteobacteria:Betaproteobacteria:Nitrosomonadales:Gallionellaceae:Sulfuricella,MGYA00360327,29,"{""geographic location (longitude)"":""25.268"",""geographic location (country and/or sea,region)"":""Finland:Krkl:Jrvel"",""collection date"":""2013-04-29"",""environment (biome)"":""anthropogenic terrestrial biome"",""environment (feature)"":""phreatic zone"",""environment (material)"":""contaminated sediment"",""geographic location (latitude)"":""60.866"",""instrument model"":""Ion Torrent PGM"",""last update date"":""2016-10-21""}",Krkl well 3 spring 2013 extraction replicate B,https://www.ebi.ac.uk/metagenomics/samples/SRS1753717,2440797022,MGYA00360327_Bacteria::Proteobacteria:Betaproteobacteria:Nitrosomonadales:Gallionellaceae:Sulfuricella,DNA sequence reads,SSU rRNA annotated using the taxonomic reference database described here: https://www.ebi.ac.uk/metagenomics/pipelines/4.1. This occurrence appeared in following analyses: SSU taxonomy from analyses https://www.ebi.ac.uk/metagenomics/analyses/MGYA00360327#taxonomic.,DNA sequence reads,"Sulfuricella Kojima & Fukui, 2010",20,0,Krkl,FIN.5.5.1_1,Lahti,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2441270682,"Sulfuricella Kojima & Fukui, 2010",41.7349,-111.8759,gass84,5bef00c7-ccb1-4866-aee0-0d0532538190,ab733144-7043-4e88-bd4f-fca7bf858880,fb5e4c2a-579c-434b-a446-3a665dd732ad,GB,DWC_ARCHIVE,2020-09-01T01:56:57.088+0000,2020-09-01T14:09:53.206+0000,17,none,MATERIAL_SAMPLE,PRESENT,9592496,3,111,337,1379,8928,9592496,9592496,"Sulfuricella Kojima & Fukui, 2010",Bacteria,Proteobacteria,Hydrogenophilales,Hydrogenophilaceae,Sulfuricella,Sulfuricella,GENUS,ACCEPTED,NA,NA,NA,NA,2020-09-01T14:09:53.206+0000,http://creativecommons.org/licenses/by/4.0/legalcode,252,DNA sequence reads,DNA sequence reads,19976,0.012615138,none,none,none,USA,United States,USA.45_1,Utah,USA.45.3_1,Cache,WGS84,Betaproteobacteria,US,none,none,United States of America,https://www.ebi.ac.uk/metagenomics/pipelines/4.1,19976,MGYA00358449_Bacteria::Proteobacteria:Betaproteobacteria:Nitrosomonadales:Gallionellaceae:Sulfuricella,MGYA00358449,252,"{""investigation type"":""metagenome"",""geographic location (longitude)"":""-111.8759"",""geographic location (country and/or sea,region)"":""Cache Valley, Logan, Utah, USA"",""environment (biome)"":""sediment"",""environmental package"":""sediment"",""elevation"":""4441.0"",""geographic location (latitude)"":""41.734867"",""instrument model"":""454 GS FLX Titanium"",""last update date"":""2015-06-23""}","Molecular characterization of arsenic and iron reducing microbial communities from the sediments of a Northern Utah, Basin Fill Aquifer",https://www.ebi.ac.uk/metagenomics/samples/SRS566633,2441270682,MGYA00358449_Bacteria::Proteobacteria:Betaproteobacteria:Nitrosomonadales:Gallionellaceae:Sulfuricella,DNA sequence reads,SSU rRNA annotated using the taxonomic reference database described here: https://www.ebi.ac.uk/metagenomics/pipelines/4.1. This occurrence appeared in following analyses: SSU taxonomy from analyses https://www.ebi.ac.uk/metagenomics/analyses/MGYA00358449#taxonomic.,DNA sequence reads,"Sulfuricella Kojima & Fukui, 2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
