Category	Function	Gene abbreviation	Gene name	GCF_000297055.2_ASM29705v2_genomic Function presence	GCF_000971475.1_ASM97147v1_genomic Function presence	bin_1_Betaproteobacteria Function presence	bin_2_Rhizobiales Function presence
Thermophilic specific	Thermophilic specific	rgy	reverse gyrase	Absent	Absent	Absent	Absent
Amino acid utilization	4-aminobutyrate aminotransferase and related aminotransferases	4-aminobutyrate aminotransferase and related aminotransferases	4-aminobutyrate aminotransferase and related aminotransferases	Absent	Absent	Absent	Present
Amino acid utilization	Aminotransferase class I and II	aminotransferase class I and II	aminotransferase class I and II	Absent	Absent	Absent	Present
Amino acid utilization	Phosphoserine aminotransferase	phosphoserine aminotransferase	phosphoserine aminotransferase	Present	Present	Present	Present
Amino acid utilization	Ornithine/acetylornithine aminotransferase	ornithine/acetylornithine aminotransferase	ornithine/acetylornithine aminotransferase	Present	Present	Present	Present
Amino acid utilization	Branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase	branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase	branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase	Present	Present	Present	Present
Amino acid utilization	Aspartate/tyrosine/aromatic aminotransferase	aspartate/tyrosine/aromatic aminotransferase	aspartate/tyrosine/aromatic aminotransferase	Present	Present	Present	Present
Amino acid utilization	Histidinol-phosphate/aromatic aminotransferase	histidinol-phosphate/aromatic aminotransferase	histidinol-phosphate/aromatic aminotransferase	Present	Present	Present	Present
Amino acid utilization	Serine-pyruvate aminotransferase/archaeal aspartate aminotransferase	serine-pyruvate aminotransferase/archaeal aspartate aminotransferase	serine-pyruvate aminotransferase/archaeal aspartate aminotransferase	Present	Present	Absent	Absent
Ethanol fermentation	Acetate => Acetaldehyde	acetate => acetaldehyde	acetate => acetaldehyde	Absent	Absent	Absent	Absent
Ethanol fermentation	Acetaldehyde => Ethanol	acetaldehyde => ethanol	acetaldehyde => ethanol	Absent	Absent	Absent	Present
Fatty acid degradation	acyl-CoA dehydrogenase	acyl-CoA dehydrogenase	acyl-CoA dehydrogenase	Absent	Absent	Absent	Present
Aromatics degradation	Protocatechuate/Catechol degradation	catA	catechol 1,2-dioxygenase	Absent	Absent	Absent	Absent
Aromatics degradation	Phenol => Benzoyl-CoA	ubiX||bsdC	flavin prenyltransferase	Present	Present	Absent	Present
