site,date,annual day,Day since,flow rate,temp,cond,TDS,pH,ORP,NO3,NH4,Fe2,S2,DO,SO4,Cl,F,Mg,Ca,Na,Si,Fe,Mn,Al,Ar,Ba,B,Li,Ni,dD,dO,DOC,DIC,d13C DIC,cc,CO2,C2H6 ,CH4,CO,He,H2
D1,12/7/15,341,2,NaN,9.9,943,684.1,7.65,-99,NaN,NaN,NaN,NaN,NaN,310,10.9,,37.7,121,27.3,8.3,6.21,0.197,0,0,0.044,0.2,0.048,0.012,-125.7,-17.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
D1,5/2/16,123,149,NaN,10.9,956.5,684,7.93,-113,0.5,0.06,2.28,8,0.2,355,11.6,0.5,36.7,118,26.9,7.8,5.13,0.184,0,0,0.043,0.2,0.045,0.015,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
D1,5/18/16,139,165,NaN,9.9,952.3,687,8.24,-132,0.2,0.08,2.6,0,0.054,340,11.4,0.27,35.9,115,25.3,7.7,4.92,0.179,0,0,0.042,0.19,0.04,0.01,-123.88,-17.15,0.486,NaN,NaN,3182,534.92,0,0.8,0.47,0.04,0.25
D1,7/11/16,193,219,2933,10.2,950.2,680.4,7.62,-42,0.2,0.09,2.12,0,0.1,312,10.9,0.47,37.8,123,27.2,7.9,5.02,0.179,0,0,0.041,0.19,0.038,0.018,-123.84,-17.15,0.42,4.01,-9.96,1755,624.93,0,0.51,0.04,0.07,0.04
D1,9/20/16,264,290,2873,10.1,937,674.3,6.66,-59,0.3,0.08,2.49,0,0.117,302,10.6,0.32,37.2,117,27.2,7.9,4.67,0.183,0.05,0.04,0.042,0.2,0.043,0,-119,-15.8,0.45,4.13,-10.25,NaN,388.34,0,0.2,0.1,0.02,0.01
D1,12/9/16,344,370,2800,10,956.1,688.7,7.37,-96,0.2,0.07,2.27,0,0,297,11.3,0.4,34.7,110,25.2,7.2,4.61,0.16,0,0,0.038,0.18,0.036,0,-124.5,-16.6,0.4,4.22,-12.4,1295,NaN,NaN,NaN,NaN,NaN,NaN
D1,2/15/17,46,438,2787,10,949.1,671.4,7.52,-120,0.3,0.06,2.33,0,,325,11.2,0.44,37.8,118,28,7.9,4.92,0.175,0,0,0.038,0.18,0.045,0.011,-124,-16.7,0.426,4.3,-11.63,1869,487.89,0,0.45,0.21,0.04,0.26
D1,5/9/17,129,521,3000,10.5,1052,758.5,6.49,-47,0.1,0.05,1.6,2,0.019,386,12.8,0.74,40.9,134,30.7,7.8,7,0.236,0,0,0.042,0.26,0.048,0.016,-122.8,-16.7,0.403,4.15,-11.29,2233,NaN,NaN,NaN,NaN,NaN,NaN
D1,8/31/17,243,635,2800,10.1,972.8,700.2,7.75,-93,0.3,0.05,1.91,2,0.035,323,12.5,0.5,38.7,120,28.4,8,4.92,0.218,0,0,0.042,0.24,0.041,0,-123.53,-16.97,0.435,4.4,-11.995,1181,542.94,0,0.32,0.17,0.02,0.03
D1,11/30/17,334,726,516.6,10.3,993.4,715.4,7.35,-94,0.3,0.07,4.06,1,0.025,330,10.3,0.29,39.9,127,29.9,8,5.42,0.235,0,0,0.039,0.26,0.045,0,-123.92,-17.13,0.39,4.25,-11.84,7774,533.62,0,0.62,0.2,0.05,0.12
D1,4/18/18,108,865,3000,10.5,1045,756,5.83,-68,0.3,0.06,2.32,6,0.025,393,15.8,0.66,42,138,32.4,8.3,6.08,0.288,0,0,0.039,0.34,0.053,0,-123.57,-17.07,0.468,3.810611239,-11.14727175,NaN,NaN,NaN,NaN,NaN,NaN,NaN
D1,9/11/18,244,1001,2966,10.6,980.3,701.1,5.95,-78,0.3,0.08,2.68,0,0.042,360,12.6,0.49,38.1,121,28.6,8,5.2,0.223,0,0,0.037,0.28,0.043,0.009,-124.3,-17.5,0.42,4.455662675,-11.20867515,NaN,NaN,NaN,NaN,NaN,NaN,NaN
D1,6/10/19,161,1283,NaN,9.9,981.6,708.2,NaN,-83,0.3,0.08,2.78,6,0.05,334.7218,10.3653,0.6592,44.12,129.89,29.32,9.44,6.11,0.27,0.02,0,0.04,0.33,0.04,0,NaN,NaN,NaN,4.62,-11.41,NaN,NaN,NaN,NaN,NaN,NaN,NaN
