note,depth,environment,sample_type,title,description,decimalLatitude,decimalLongitude,locality,relativeOrganismQuantity,datasetKey,sequence_type,reference
,,marine,eukaryote,Atlantic salmon microbiota,Atlantic salmon skin mucus and surrounding water have been sampled at production facilities both in freshwater and after transfer to seawater. Extracted DNA is sequenced using barcoded 16S primers using PacBio SCC.,70.07,22.67,NA,3.77E-04,5ec079d4-af28-4a9a-98df-8bf8f6baf497,16s SSU,
,"benthic, pelagic",marine,fluids,Marine metagenomes Metagenome,Marine amplicons from Australian marine (benthic and pelagic environments,-42.6,148.23,Maria Island NRS,9.65E-06,a74db578-ac84-4907-ab8f-8de6eaa7df56,16s SSU,
,"benthic, pelagic",marine,fluids,Marine metagenomes Metagenome,Marine amplicons from Australian marine (benthic and pelagic environments,-35.22,130.69,Great Australian Bight,9.39E-06,a74db578-ac84-4907-ab8f-8de6eaa7df56,16s SSU,
,"benthic, pelagic",marine,fluids,Marine metagenomes Metagenome,Marine amplicons from Australian marine (benthic and pelagic environments,-34.07,151.11,NSW,7.39E-05,a74db578-ac84-4907-ab8f-8de6eaa7df56,16s SSU,
,"benthic, pelagic",marine,fluids,Marine metagenomes Metagenome,Marine amplicons from Australian marine (benthic and pelagic environments,-34.07,151.15,NSW,2.55E-05,a74db578-ac84-4907-ab8f-8de6eaa7df56,16s SSU,
,"benthic, pelagic",marine,fluids,Marine metagenomes Metagenome,Marine amplicons from Australian marine (benthic and pelagic environments,-33.99,151.23,NSW,1.09E-05,a74db578-ac84-4907-ab8f-8de6eaa7df56,16s SSU,
,"benthic, pelagic",marine,fluids,Marine metagenomes Metagenome,Marine amplicons from Australian marine (benthic and pelagic environments,-33.85,151.2,NSW,6.95E-07,a74db578-ac84-4907-ab8f-8de6eaa7df56,16s SSU,
,"benthic, pelagic",marine,fluids,Marine metagenomes Metagenome,Marine amplicons from Australian marine (benthic and pelagic environments,-31.86,115.75,Perth,5.29E-06,a74db578-ac84-4907-ab8f-8de6eaa7df56,16s SSU,
,,wastewater,sediment,sediment metagenome Raw sequence reads,This study demonstrated that Dehalococcoides could be employed as a promising biomarker to test the present of organohalides in wastestreams or other environmental samples.,23.8,113.17,Guangzhou,2.16E-05,3813b43e-09a9-401b-b748-649e9dfa9390,16s SSU,
,,river,sediment,Sediment river Genome sequencing and assembly,Bacterial community composition in sediment discharge at upper and lower reaches of Puyang river,29.46,119.88,NA,0.008017394,9946bfe1-e59e-4879-81ac-dae1b348c4e4,16s SSU,
,surface,wetland,sediment,Microbiome profiling Schlöppnerbrunnen peat cores from different depths,Microbiome profiling of Schlöppnerbrunnen peat cores collected from different depths ranging from 0-30 cm.,50.13,11.88,NA,3.84E-04,40f02899-576f-439f-9756-f3fa78d4ee63,16s SSU,
,,mine,"biofilm, fluids","Abundance, diversity and distribution of Legionellales in wet environments in Sweden","In this study, 57 samples from water, soil and sediments were collected in different wet environments in Uppland, Sweden. 45 of them were taken from natural reserves, and 12 from a silver mine. The main objective was to study the abundance, diversity and distribution of members of the gammaproteobacterial order Legionellales.",59.91,16.58,NA,6.71E-06,c566cd39-824e-4139-8b98-55564dadca96,16s SSU,
