#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
k99_965_4            -          K00333               -           1.9e-192  639.8   5.1  2.4e-192  639.5   5.1   1.0   1   0   0   1   1   1   1 # 3414 # 4673 # -1 # ID=77_4;partial=00;start_type=GTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.605
NZ_DF967533.1_142    -          K00333               -           2.1e-192  639.6   4.2  2.6e-192  639.3   4.2   1.0   1   0   0   1   1   1   1 # 143687 # 144946 # -1 # ID=65_142;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.598
NC_022357.1_934      -          K00333               -           4.2e-192  638.6   3.4  5.2e-192  638.3   3.4   1.0   1   0   0   1   1   1   1 # 949882 # 951141 # 1 # ID=1_934;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.581
k99_1306_24          -          K00333               -           4.4e-183  608.9   0.1  5.4e-183  608.6   0.1   1.0   1   0   0   1   1   1   1 # 23828 # 25021 # -1 # ID=139_24;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.649
k99_2012_12          -          K00333               -           8.7e-123  409.9   1.6    1e-122  409.7   1.6   1.0   1   0   0   1   1   0   1 # 8813 # 9994 # 1 # ID=226_12;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.656
k99_1798_5           -          K00333               -           2.7e-121  405.0   0.7  3.2e-121  404.8   0.7   1.0   1   0   0   1   1   0   1 # 4540 # 5619 # -1 # ID=200_5;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.683
k99_979_29           -          K00333               -             2e-106  356.0   3.0  2.4e-106  355.7   3.0   1.0   1   0   0   1   1   0   1 # 32857 # 33969 # -1 # ID=102_29;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.666
k99_1989_2           -          K00333               -            4.6e-73  245.9   0.0   5.7e-73  245.6   0.0   1.1   1   0   0   1   1   0   1 # 345 # 1892 # -1 # ID=186_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.640
NZ_DF967585.1_91     -          K00333               -            1.7e-72  244.0   0.0   2.4e-72  243.5   0.0   1.2   1   0   0   1   1   0   1 # 101096 # 102643 # 1 # ID=13_91;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.608
NC_022357.1_1983     -          K00333               -            2.1e-72  243.7   0.0   2.9e-72  243.3   0.0   1.2   1   0   0   1   1   0   1 # 2066588 # 2068135 # 1 # ID=1_1983;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.599
k99_364_18           -          K00333               -            1.2e-65  221.5   0.1   1.4e-65  221.2   0.1   1.1   1   0   0   1   1   0   1 # 18579 # 20090 # 1 # ID=36_18;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.711
