#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
NZ_DF967539.1_242    -          K04744               -           9.5e-224  745.0   5.8  1.2e-223  744.6   5.8   1.0   1   0   0   1   1   1   1 # 229445 # 231820 # -1 # ID=59_242;partial=00;start_type=GTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.571
k99_1529_1           -          K04744               -             3e-223  743.3   4.8  3.9e-223  743.0   4.8   1.0   1   0   0   1   1   1   1 # 1 # 2412 # 1 # ID=130_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.602
NC_022357.1_2505     -          K04744               -           1.8e-219  730.8  12.4  2.2e-219  730.6  12.4   1.0   1   0   0   1   1   1   1 # 2616912 # 2619026 # 1 # ID=1_2505;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.565
k99_901_9            -          K04744               -           5.3e-133  445.0   1.6  6.4e-133  444.7   1.6   1.0   1   0   0   1   1   1   1 # 8991 # 11675 # -1 # ID=93_9;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.675
k99_395_10           -          K04744               -            1.3e-19   70.1   3.2     3e-09   35.8   0.8   2.0   1   1   1   2   2   0   2 # 7015 # 7614 # -1 # ID=42_10;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.672
k99_938_8            -          K04744               -            3.1e-12   45.7   0.4   5.3e-08   31.7   0.0   2.0   1   1   1   2   2   0   2 # 5505 # 6113 # -1 # ID=73_8;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.594
NZ_DF967531.1_55     -          K04744               -            2.9e-11   42.5   0.5   2.4e-08   32.8   0.0   2.0   1   1   1   2   2   0   2 # 46410 # 47078 # 1 # ID=67_55;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.562
NC_022357.1_556      -          K04744               -            1.2e-10   40.5   0.7   4.6e-08   31.9   0.0   2.0   1   1   1   2   2   0   2 # 577608 # 578210 # -1 # ID=1_556;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.532
k99_938_9            -          K04744               -              0.023   13.0   0.0     0.024   13.0   0.0   1.0   1   0   0   1   1   0   0 # 6094 # 6669 # -1 # ID=73_9;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.594
k99_395_11           -          K04744               -              0.034   12.5   0.0     0.039   12.3   0.0   1.1   1   0   0   1   1   0   0 # 7611 # 8333 # -1 # ID=42_11;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.708
NC_022357.1_557      -          K04744               -               0.06   11.7   0.0     0.063   11.6   0.0   1.1   1   0   0   1   1   0   0 # 578191 # 578766 # -1 # ID=1_557;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.564
NZ_DF967531.1_54     -          K04744               -              0.074   11.4   0.0     0.082   11.2   0.0   1.1   1   0   0   1   1   0   0 # 45854 # 46429 # 1 # ID=67_54;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.562
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /slowdata/data1/Genome_profile_software/kofam_database/profiles/K04744.hmm
# Target file:     S_denitrificans_genomes//total.faa
# Option settings: hmmsearch --tblout S_denitrificans_METABOLIC-G_out/intermediate_files/Hmmsearch_Outputs/K04744.hmm.total.hmmsearch_result.txt --domT 81.87 --cpu 1 /slowdata/data1/Genome_profile_software/kofam_database/profiles/K04744.hmm S_denitrificans_genomes//total.faa 
# Current dir:     /slowdata/data3/Northwestern_Metagenomes
# Date:            Mon Sep 21 03:06:41 2020
# [ok]
