#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
k99_1145_65          -          K03606               -           2.4e-185  617.7   0.4  2.6e-185  617.6   0.4   1.0   1   0   0   1   1   1   1 # 65803 # 67200 # -1 # ID=92_65;partial=00;start_type=ATG;rbs_motif=4Base/6BMM;rbs_spacer=13-15bp;gc_cont=0.562
k99_1436_21          -          K03606               -           5.9e-132  441.1   4.6  7.1e-132  440.9   4.6   1.0   1   0   0   1   1   1   1 # 22089 # 23558 # 1 # ID=158_21;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.675
k99_1147_7           -          K03606               -           1.8e-131  439.5   0.1  2.1e-131  439.3   0.1   1.0   1   0   0   1   1   1   1 # 6641 # 8203 # 1 # ID=126_7;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.669
NZ_DF967522.1_189    -          K03606               -            5.1e-81  272.7   0.0   7.2e-81  272.2   0.0   1.2   1   0   0   1   1   0   1 # 218837 # 220234 # -1 # ID=76_189;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.533
NC_022357.1_2938     -          K03606               -            3.2e-80  270.1   0.1   4.5e-80  269.6   0.1   1.1   1   0   0   1   1   0   1 # 3074538 # 3075935 # -1 # ID=1_2938;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.526
k99_1488_2           -          K03606               -            6.6e-64  216.1   0.2   7.5e-64  216.0   0.2   1.0   1   0   0   1   1   0   1 # 444 # 1265 # 1 # ID=123_2;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.571
NC_022357.1_713      -          K03606               -            6.6e-63  212.9   0.2   7.9e-63  212.6   0.2   1.0   1   0   0   1   1   0   1 # 727540 # 728283 # -1 # ID=1_713;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.571
k99_811_2            -          K03606               -            2.8e-58  197.5   0.3   3.5e-58  197.2   0.3   1.0   1   0   0   1   1   0   1 # 795 # 1664 # -1 # ID=65_2;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.598
NZ_DF967522.1_71     -          K03606               -            7.6e-53  179.6   0.1     9e-53  179.3   0.1   1.0   1   0   0   1   1   0   1 # 86725 # 87285 # -1 # ID=76_71;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.560
k99_1488_1           -          K03606               -              8e-19   67.1   0.5   9.2e-19   66.9   0.5   1.0   1   0   0   1   1   0   1 # 3 # 308 # 1 # ID=123_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.578
k99_811_1            -          K03606               -            1.9e-18   65.9   0.1   2.1e-18   65.7   0.1   1.0   1   0   0   1   1   0   1 # 2 # 529 # -1 # ID=65_1;partial=10;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.545
NC_022357.1_2818     -          K03606               -            4.7e-14   51.3   0.7   7.2e-14   50.7   0.2   1.4   2   0   0   2   2   0   1 # 2930179 # 2932011 # -1 # ID=1_2818;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.543
NZ_DF967522.1_70     -          K03606               -            7.4e-12   44.1   0.1   9.3e-12   43.7   0.1   1.1   1   0   0   1   1   0   1 # 85183 # 86556 # -1 # ID=76_70;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.623
k99_290_4            -          K03606               -            1.4e-07   30.0   0.5   1.5e-07   29.8   0.5   1.0   1   0   0   1   1   0   1 # 4687 # 5355 # -1 # ID=25_4;partial=00;start_type=GTG;rbs_motif=GGAGG;rbs_spacer=3-4bp;gc_cont=0.697
NZ_DF967539.1_140    -          K03606               -            2.2e-05   22.7   0.3   2.6e-05   22.4   0.3   1.0   1   0   0   1   1   0   1 # 137288 # 138046 # 1 # ID=59_140;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.538
NC_022357.1_2594     -          K03606               -            2.3e-05   22.6   0.3   2.9e-05   22.3   0.3   1.0   1   0   0   1   1   0   1 # 2698215 # 2698973 # -1 # ID=1_2594;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.551
k99_368_6            -          K03606               -             0.0003   18.9   0.1   0.00037   18.6   0.1   1.0   1   0   0   1   1   0   1 # 3819 # 4583 # -1 # ID=32_6;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.583
NZ_DF967523.1_81     -          K03606               -             0.0012   16.9   0.2    0.0015   16.6   0.2   1.1   1   0   0   1   1   0   1 # 88635 # 89303 # 1 # ID=75_81;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.601
k99_1040_12          -          K03606               -             0.0018   16.3   0.2     0.002   16.2   0.2   1.2   1   0   0   1   1   0   1 # 11234 # 11938 # 1 # ID=109_12;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.678
NC_022357.1_719      -          K03606               -             0.0043   15.1   0.3    0.0044   15.0   0.3   1.0   1   0   0   1   1   0   1 # 731900 # 732070 # 1 # ID=1_719;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.596
k99_2003_7           -          K03606               -              0.012   13.6   0.2     0.017   13.1   0.2   1.1   1   0   0   1   1   0   0 # 8409 # 9119 # 1 # ID=223_7;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.658
NZ_DF967591.1_11     -          K03606               -               0.75    7.7   5.9      0.84    7.5   5.9   1.0   1   0   0   1   1   0   0 # 12304 # 12942 # -1 # ID=7_11;partial=00;start_type=TTG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.502
NC_022357.1_1981     -          K03606               -                9.9    4.0  11.1        12    3.7  11.1   1.1   1   0   0   1   1   0   0 # 2064472 # 2065131 # 1 # ID=1_1981;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.527
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /slowdata/data1/Genome_profile_software/kofam_database/profiles/K03606.hmm
# Target file:     S_denitrificans_genomes//total.faa
# Option settings: hmmsearch --tblout S_denitrificans_METABOLIC-G_out/intermediate_files/Hmmsearch_Outputs/K03606.hmm.total.hmmsearch_result.txt --domT 370.73 --cpu 1 /slowdata/data1/Genome_profile_software/kofam_database/profiles/K03606.hmm S_denitrificans_genomes//total.faa 
# Current dir:     /slowdata/data3/Northwestern_Metagenomes
# Date:            Mon Sep 21 03:06:19 2020
# [ok]
