#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
k99_1391_1           -          K03484               -            2.2e-68  230.7   0.0   2.4e-68  230.6   0.0   1.0   1   0   0   1   1   0   1 # 3 # 830 # -1 # ID=151_1;partial=10;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.709
k99_168_17           -          K03484               -            3.9e-66  223.3   0.0     5e-66  222.9   0.0   1.0   1   0   0   1   1   0   1 # 17671 # 18705 # 1 # ID=16_17;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.692
k99_2005_7           -          K03484               -            7.1e-63  212.6   0.0   8.5e-63  212.3   0.0   1.0   1   0   0   1   1   0   1 # 4239 # 5264 # -1 # ID=224_7;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.717
k99_1995_24          -          K03484               -            2.9e-56  190.8   0.0   3.4e-56  190.6   0.0   1.0   1   0   0   1   1   0   1 # 24063 # 25163 # 1 # ID=219_24;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.755
k99_611_13           -          K03484               -            2.6e-54  184.4   0.0   3.2e-54  184.1   0.0   1.0   1   0   0   1   1   0   1 # 15863 # 16837 # 1 # ID=64_13;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.662
k99_436_2            -          K03484               -            7.2e-49  166.5   0.0   8.8e-49  166.2   0.0   1.0   1   0   0   1   1   0   1 # 583 # 1629 # 1 # ID=47_2;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.727
k99_1077_23          -          K03484               -            9.3e-44  149.7   0.0   1.2e-43  149.4   0.0   1.0   1   0   0   1   1   0   1 # 24217 # 25293 # 1 # ID=115_23;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.683
k99_478_7            -          K03484               -            7.6e-20   71.0   0.6   9.5e-20   70.7   0.6   1.0   1   0   0   1   1   0   1 # 6411 # 7421 # -1 # ID=52_7;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.639
k99_698_43           -          K03484               -            1.1e-19   70.5   0.0   2.8e-19   69.2   0.0   1.7   1   1   0   1   1   0   1 # 39977 # 41020 # 1 # ID=74_43;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.685
k99_1257_42          -          K03484               -            5.4e-14   51.8   0.0   5.7e-14   51.7   0.0   1.0   1   0   0   1   1   0   1 # 46979 # 47230 # -1 # ID=135_42;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.706
k99_2264_1           -          K03484               -            8.8e-14   51.1   0.0   9.4e-14   51.0   0.0   1.0   1   0   0   1   1   0   1 # 2 # 244 # 1 # ID=261_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.691
