CAZyme ID	GCF_000297055.2_ASM29705v2_genomic Hit numbers	GCF_000297055.2_ASM29705v2_genomic Hits	GCF_000971475.1_ASM97147v1_genomic Hit numbers	GCF_000971475.1_ASM97147v1_genomic Hits	bin_1_Betaproteobacteria Hit numbers	bin_1_Betaproteobacteria Hits	bin_2_Rhizobiales Hit numbers	bin_2_Rhizobiales Hits
GH002	0	None	0	None	0	None	1	k99_178_1
GH003	1	NC_022357.1_1387	1	NZ_DF967535.1_56	1	k99_1817_2	4	k99_1372_7;k99_1636_15;k99_2050_1;k99_963_1
GH005	0	None	0	None	0	None	1	k99_1515_1
GH008	0	None	0	None	0	None	1	k99_256_2
GH010	0	None	0	None	0	None	1	k99_2050_6
GH013	8	NC_022357.1_1883;NC_022357.1_2375;NC_022357.1_2376;NC_022357.1_2377;NC_022357.1_2379;NC_022357.1_2381;NC_022357.1_2382;NC_022357.1_2383	1	NZ_DF967541.1_10	1	k99_982_6	3	k99_2177_12;k99_2177_15;k99_447_3
GH015	0	None	0	None	1	k99_379_4	1	k99_634_5
GH018	0	None	0	None	0	None	1	k99_168_9
GH023	6	NC_022357.1_1149;NC_022357.1_1167;NC_022357.1_2074;NC_022357.1_2766;NC_022357.1_2940;NC_022357.1_394	6	NZ_DF967522.1_191;NZ_DF967522.1_5;NZ_DF967525.1_63;NZ_DF967563.1_43;NZ_DF967563.1_9;NZ_DF967585.1_186	4	k99_1400_6;k99_1536_20;k99_1794_36;k99_2125_12	3	k99_1106_26;k99_508_13;k99_901_32
GH031	0	None	0	None	0	None	1	k99_2005_12
GH057	2	NC_022357.1_1880;NC_022357.1_1881	2	NZ_DF967541.1_12;NZ_DF967541.1_13	2	k99_982_8;k99_982_9	0	None
GH073	1	NC_022357.1_1662	1	NZ_DF967537.1_47	1	k99_1722_23	0	None
GH077	2	NC_022357.1_2383;NC_022357.1_2391	0	None	0	None	1	k99_2177_15
GH094	0	None	0	None	0	None	1	k99_436_25
GH102	1	NC_022357.1_2482	1	NZ_DF967539.1_265	1	k99_385_5	1	k99_366_11
GH103	2	NC_022357.1_1649;NC_022357.1_492	1	NZ_DF967537.1_34	0	None	2	k99_2178_2;k99_784_20
GH114	0	None	0	None	0	None	1	k99_1419_11
