#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
k99_938_23           -          K07016               -            4.8e-08   31.9   0.0    0.0031   15.9   0.0   2.8   1   1   1   3   3   0   2 # 22755 # 23771 # -1 # ID=73_23;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.621
k99_1101_1           -          K07016               -            1.9e-06   26.6   0.0   2.5e-06   26.2   0.0   1.1   1   0   0   1   1   0   1 # 348 # 1637 # 1 # ID=88_1;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.560
k99_603_6            -          K07016               -            3.4e-05   22.4   0.0   4.5e-05   22.0   0.0   1.1   1   0   0   1   1   0   1 # 9539 # 10615 # 1 # ID=63_6;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.678
k99_799_1            -          K07016               -            0.00016   20.3   0.0   0.00023   19.7   0.0   1.1   1   0   0   1   1   0   1 # 1 # 2496 # -1 # ID=63_1;partial=10;start_type=TTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.633
NZ_DF967585.1_33     -          K07016               -            0.00024   19.6   0.0   0.00031   19.3   0.0   1.1   1   0   0   1   1   0   1 # 37944 # 38792 # 1 # ID=13_33;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.571
NC_022357.1_1671     -          K07016               -            0.00032   19.2   1.5    0.0015   17.1   0.0   2.3   2   0   0   2   2   0   1 # 1727411 # 1729228 # -1 # ID=1_1671;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.524
NC_022357.1_1920     -          K07016               -            0.00033   19.2   0.0    0.0004   18.9   0.0   1.1   1   0   0   1   1   0   1 # 2000658 # 2001506 # 1 # ID=1_1920;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.556
NZ_DF967537.1_56     -          K07016               -            0.00049   18.6   1.9    0.0015   17.0   0.0   2.3   2   0   0   2   2   0   1 # 57788 # 59605 # -1 # ID=61_56;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.523
k99_1235_2           -          K07016               -            0.00052   18.5   0.0      0.16   10.3   0.0   2.1   1   1   1   2   2   0   2 # 1246 # 2175 # 1 # ID=100_2;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.545
NZ_DF967524.1_91     -          K07016               -            0.00059   18.3   0.0   0.00059   18.3   0.0   1.4   2   0   0   2   2   0   1 # 98303 # 99634 # 1 # ID=74_91;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.608
NZ_DF967557.1_33     -          K07016               -            0.00068   18.2   0.0   0.00087   17.8   0.0   1.1   1   0   0   1   1   0   1 # 29352 # 30176 # -1 # ID=41_33;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.571
NC_022357.1_970      -          K07016               -             0.0018   16.7   0.0      0.17   10.2   0.0   2.1   1   1   1   2   2   0   2 # 996053 # 996967 # -1 # ID=1_970;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.515
NC_022357.1_2245     -          K07016               -              0.003   16.0   0.0    0.0051   15.2   0.0   1.3   1   0   0   1   1   0   1 # 2339574 # 2340920 # 1 # ID=1_2245;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.584
NZ_DF967535.1_52     -          K07016               -             0.0033   15.9   0.0    0.0044   15.5   0.0   1.1   1   0   0   1   1   0   1 # 57011 # 57868 # 1 # ID=63_52;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.563
NZ_DF967541.1_37     -          K07016               -             0.0034   15.8   0.0    0.0055   15.1   0.0   1.2   1   0   0   1   1   0   1 # 43104 # 44543 # 1 # ID=57_37;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.628
NZ_DF967533.1_111    -          K07016               -             0.0038   15.7   0.0      0.18   10.1   0.0   2.1   1   1   1   2   2   0   1 # 108975 # 109889 # 1 # ID=65_111;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.518
NC_022357.1_1921     -          K07016               -             0.0045   15.4   0.0    0.0054   15.2   0.0   1.1   1   0   0   1   1   0   1 # 2001605 # 2002465 # 1 # ID=1_1921;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.555
