#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
k99_575_1            -          K07246               -           2.1e-153  510.2   0.1  2.3e-153  510.0   0.1   1.0   1   0   0   1   1   1   1 # 2 # 985 # 1 # ID=62_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.687
NC_022357.1_868      -          K07246               -            5.7e-85  285.0   0.1   6.4e-85  284.9   0.1   1.0   1   0   0   1   1   0   1 # 878513 # 879577 # 1 # ID=1_868;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.600
k99_1933_17          -          K07246               -            1.6e-84  283.6   0.0   1.7e-84  283.4   0.0   1.0   1   0   0   1   1   0   1 # 16987 # 18048 # -1 # ID=183_17;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.624
NZ_DF967536.1_5      -          K07246               -            5.2e-83  278.5   0.0   5.8e-83  278.4   0.0   1.0   1   0   0   1   1   0   1 # 3578 # 4642 # 1 # ID=62_5;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.601
k99_1469_75          -          K07246               -            1.4e-79  267.2   0.0   1.6e-79  267.1   0.0   1.0   1   0   0   1   1   0   1 # 76657 # 77769 # 1 # ID=162_75;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.685
k99_1200_12          -          K07246               -            3.6e-47  160.6   1.8   3.1e-45  154.3   1.8   2.6   1   1   0   1   1   0   1 # 12356 # 13594 # 1 # ID=97_12;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.591
NC_022357.1_680      -          K07246               -            1.4e-45  155.4   1.1   9.8e-44  149.3   1.1   2.6   1   1   0   1   1   0   1 # 693510 # 694748 # 1 # ID=1_680;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.560
NZ_DF967523.1_9      -          K07246               -            8.1e-44  149.6   1.3   2.9e-42  144.5   1.3   2.6   1   1   0   1   1   0   1 # 12765 # 14003 # 1 # ID=75_9;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.556
k99_509_1            -          K07246               -              3e-07   29.3   0.1   3.1e-07   29.3   0.1   1.0   1   0   0   1   1   0   1 # 1 # 75 # -1 # ID=56_1;partial=10;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.720
k99_1860_7           -          K07246               -              0.013   14.0   0.0     0.019   13.5   0.0   1.2   1   0   0   1   1   0   0 # 12042 # 13262 # -1 # ID=206_7;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.640
k99_875_4            -          K07246               -              0.023   13.2   0.1      0.28    9.7   0.0   2.1   2   0   0   2   2   0   0 # 2737 # 3777 # -1 # ID=88_4;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.693
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /slowdata/data1/Genome_profile_software/kofam_database/profiles/K07246.hmm
# Target file:     S_denitrificans_genomes//total.faa
# Option settings: hmmsearch --tblout S_denitrificans_METABOLIC-G_out/intermediate_files/Hmmsearch_Outputs/K07246.hmm.total.hmmsearch_result.txt --domT 447.07 --cpu 1 /slowdata/data1/Genome_profile_software/kofam_database/profiles/K07246.hmm S_denitrificans_genomes//total.faa 
# Current dir:     /slowdata/data3/Northwestern_Metagenomes
# Date:            Mon Sep 21 03:07:38 2020
# [ok]
