#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
k99_2007_2           -          K06207               -                  0 1044.8   0.9         0 1044.6   0.9   1.0   1   0   0   1   1   1   1 # 1844 # 3655 # -1 # ID=188_2;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.612
NZ_DF967553.1_46     -          K06207               -                  0 1043.8   1.8         0 1043.6   1.8   1.0   1   0   0   1   1   1   1 # 43703 # 45514 # -1 # ID=45_46;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.583
NC_022357.1_1537     -          K06207               -                  0 1041.5   2.0         0 1041.4   2.0   1.0   1   0   0   1   1   1   1 # 1582287 # 1584095 # -1 # ID=1_1537;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.575
k99_1372_16          -          K06207               -           6.5e-299  993.1   2.4  7.2e-299  992.9   2.4   1.0   1   0   0   1   1   1   1 # 19159 # 20976 # 1 # ID=150_16;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.663
k99_1543_12          -          K06207               -            5.3e-86  288.9   4.7   3.9e-38  130.6   0.0   3.1   3   0   0   3   3   0   3 # 13481 # 15574 # 1 # ID=134_12;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.581
NZ_DF967551.1_2      -          K06207               -            6.2e-86  288.7   4.4   3.9e-38  130.6   0.0   3.1   3   0   0   3   3   0   3 # 120 # 2213 # -1 # ID=47_2;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.548
NC_022357.1_614      -          K06207               -            1.2e-85  287.7   4.6   3.9e-38  130.6   0.0   3.1   3   0   0   3   3   0   3 # 634733 # 636826 # 1 # ID=1_614;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.547
k99_296_22           -          K06207               -              2e-70  237.4   5.2   5.9e-69  232.5   5.2   2.9   1   1   0   1   1   0   1 # 24696 # 26489 # 1 # ID=25_22;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.585
NC_022357.1_1373     -          K06207               -            5.8e-69  232.6   3.6   3.5e-67  226.7   3.6   2.8   1   1   0   1   1   0   1 # 1405532 # 1407325 # 1 # ID=1_1373;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.550
NZ_DF967535.1_68     -          K06207               -            2.7e-67  227.1   3.5   1.7e-65  221.1   3.5   2.8   1   1   0   1   1   0   1 # 73267 # 75060 # -1 # ID=63_68;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.560
k99_192_20           -          K06207               -            1.7e-65  221.1   0.1   7.7e-63  212.3   0.1   3.5   1   1   0   1   1   0   1 # 20647 # 22449 # 1 # ID=20_20;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.648
NC_022357.1_2262     -          K06207               -            4.4e-41  140.4   0.0   4.3e-32  110.6   0.1   2.1   2   0   0   2   2   0   2 # 2360251 # 2361840 # 1 # ID=1_2262;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.595
NZ_DF967557.1_22     -          K06207               -            1.4e-40  138.7   0.0   2.4e-31  108.1   0.1   2.1   2   0   0   2   2   0   2 # 17228 # 18799 # -1 # ID=41_22;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.602
k99_2115_13          -          K06207               -            1.3e-39  135.5   0.0   4.1e-31  107.4   0.1   2.1   2   0   0   2   2   0   2 # 18294 # 19868 # 1 # ID=200_13;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.640
k99_168_8            -          K06207               -            5.3e-36  123.6   1.2   9.4e-28   96.3   0.3   2.5   3   0   0   3   3   0   2 # 7873 # 9468 # -1 # ID=16_8;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.667
NZ_DF967579.1_1      -          K06207               -            4.6e-35  120.5   0.7   5.8e-35  120.1   0.7   1.0   1   0   0   1   1   0   1 # 1 # 1173 # 1 # ID=19_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.593
NC_022357.1_603      -          K06207               -            4.8e-35  120.4   0.5   6.1e-35  120.0   0.5   1.0   1   0   0   1   1   0   1 # 620332 # 621522 # 1 # ID=1_603;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.594
NC_022357.1_615      -          K06207               -            4.8e-35  120.4   0.5   6.1e-35  120.0   0.5   1.0   1   0   0   1   1   0   1 # 636855 # 638045 # 1 # ID=1_615;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.594
k99_1105_17          -          K06207               -            9.1e-22   76.5   0.1   7.9e-08   30.4   0.1   3.1   3   0   0   3   3   0   3 # 11870 # 13942 # 1 # ID=118_17;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.682
k99_2117_11          -          K06207               -            6.3e-21   73.7  12.2   1.5e-17   62.6   8.2   3.9   2   1   0   2   2   0   2 # 8961 # 11108 # -1 # ID=238_11;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.687
k99_1689_33          -          K06207               -            4.1e-18   64.4   0.8     1e-17   63.1   0.8   1.5   1   1   0   1   1   0   1 # 33773 # 35686 # 1 # ID=187_33;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.663
