#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
NZ_DF967553.1_4      -          K10799               -            1.6e-26   92.0   2.0     3e-16   57.9   0.1   2.0   1   1   1   2   2   0   2 # 1754 # 2392 # -1 # ID=45_4;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.495
k99_2040_8           -          K10799               -            2.1e-26   91.5   6.5   1.8e-17   61.9   1.6   2.0   1   1   1   2   2   0   2 # 4940 # 5593 # 1 # ID=193_8;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.468
NC_022357.1_1494     -          K10799               -            8.4e-24   82.9   0.7   9.1e-15   53.0   0.0   2.0   1   1   1   2   2   0   2 # 1537425 # 1538063 # -1 # ID=1_1494;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.455
NZ_DF967522.1_10     -          K10799               -            7.6e-23   79.8   0.8   6.9e-14   50.1   0.1   2.0   1   1   1   2   2   0   2 # 8853 # 9602 # -1 # ID=76_10;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.515
k99_1258_4           -          K10799               -            9.1e-23   79.5   0.0   1.1e-22   79.2   0.0   1.1   1   0   0   1   1   0   1 # 2982 # 4463 # -1 # ID=102_4;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.498
k99_1538_58          -          K10799               -            1.1e-20   72.6   0.6   1.5e-20   72.1   0.6   1.2   1   0   0   1   1   0   1 # 61252 # 61821 # -1 # ID=132_58;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.575
NC_022357.1_163      -          K10799               -            1.3e-20   72.3   2.0   1.8e-20   71.9   2.0   1.2   1   0   0   1   1   0   1 # 171875 # 172417 # 1 # ID=1_163;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.551
NZ_DF967553.1_30     -          K10799               -              3e-20   71.2   1.6   5.4e-11   40.5   0.8   2.0   1   1   1   2   2   0   2 # 25875 # 26444 # 1 # ID=45_30;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.572
NC_022357.1_1534     -          K10799               -            2.7e-19   68.0   0.0     3e-19   67.8   0.0   1.0   1   0   0   1   1   0   1 # 1577923 # 1578393 # 1 # ID=1_1534;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.505
NC_022357.1_2768     -          K10799               -            4.6e-19   67.2   1.6   7.7e-19   66.5   1.6   1.3   1   0   0   1   1   0   1 # 2864231 # 2864992 # -1 # ID=1_2768;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.606
NC_022357.1_1520     -          K10799               -            1.6e-18   65.4   1.0   7.8e-10   36.6   0.5   2.0   1   1   1   2   2   0   2 # 1561427 # 1561996 # 1 # ID=1_1520;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.546
NZ_DF967553.1_44     -          K10799               -            2.3e-18   64.9   0.0   2.6e-18   64.7   0.0   1.0   1   0   0   1   1   0   1 # 41640 # 42110 # 1 # ID=45_44;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.524
NZ_DF967527.1_135    -          K10799               -            5.1e-15   53.8   0.1   5.1e-15   53.8   0.1   1.0   1   0   0   1   1   0   1 # 116645 # 117436 # -1 # ID=71_135;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.577
k99_2079_5           -          K10799               -            0.00034   18.0   0.0   0.00049   17.4   0.0   1.1   1   0   0   1   1   0   1 # 3714 # 6755 # 1 # ID=197_5;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.607
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /slowdata/data1/Genome_profile_software/kofam_database/profiles/K10799.hmm
# Target file:     S_denitrificans_genomes//total.faa
# Option settings: hmmsearch --tblout S_denitrificans_METABOLIC-G_out/intermediate_files/Hmmsearch_Outputs/K10799.hmm.total.hmmsearch_result.txt --domT 274.27 --cpu 1 /slowdata/data1/Genome_profile_software/kofam_database/profiles/K10799.hmm S_denitrificans_genomes//total.faa 
# Current dir:     /slowdata/data3/Northwestern_Metagenomes
# Date:            Mon Sep 21 03:08:50 2020
# [ok]
