#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
k99_1768_21          -          K23463               -           4.5e-138  460.3   0.1    6e-138  460.0   0.1   1.0   1   0   0   1   1   0   1 # 17036 # 18526 # -1 # ID=197_21;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.711
k99_1004_5           -          K23463               -           4.4e-137  457.1   3.3    5e-137  456.9   3.3   1.0   1   0   0   1   1   0   1 # 4016 # 5485 # -1 # ID=103_5;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.725
k99_1110_12          -          K23463               -           2.1e-131  438.3   2.8  2.7e-131  438.0   2.8   1.0   1   0   0   1   1   0   1 # 14955 # 16421 # -1 # ID=121_12;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.704
k99_1436_6           -          K23463               -           2.5e-122  408.5   3.8    3e-122  408.2   3.8   1.0   1   0   0   1   1   0   1 # 7846 # 9297 # -1 # ID=158_6;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.701
k99_575_2            -          K23463               -           1.7e-119  399.1   2.5  2.1e-119  398.8   2.5   1.0   1   0   0   1   1   0   1 # 1245 # 2702 # 1 # ID=62_2;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.710
k99_1372_20          -          K23463               -           9.3e-116  386.8   0.2  1.2e-115  386.4   0.2   1.0   1   0   0   1   1   0   1 # 23831 # 25276 # 1 # ID=150_20;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.716
k99_509_4            -          K23463               -           1.1e-115  386.6   0.1  1.4e-115  386.1   0.1   1.0   1   0   0   1   1   0   1 # 2816 # 4273 # -1 # ID=56_4;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.674
k99_1145_87          -          K23463               -           1.6e-108  362.9   0.1  1.9e-108  362.6   0.1   1.0   1   0   0   1   1   0   1 # 92222 # 93688 # -1 # ID=92_87;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.580
NZ_DF967525.1_64     -          K23463               -           1.7e-103  346.3   0.0  2.1e-103  346.0   0.0   1.0   1   0   0   1   1   0   1 # 72396 # 73760 # 1 # ID=73_64;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.605
k99_1024_36          -          K23463               -           1.3e-102  343.4   8.0  1.4e-102  343.3   8.0   1.0   1   0   0   1   1   0   1 # 33509 # 34954 # 1 # ID=107_36;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.697
k99_1794_35          -          K23463               -           1.2e-101  340.2   0.0  1.4e-101  340.0   0.0   1.0   1   0   0   1   1   0   1 # 37658 # 39022 # -1 # ID=158_35;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.633
NC_022357.1_393      -          K23463               -           8.3e-101  337.5   0.0  9.8e-101  337.2   0.0   1.0   1   0   0   1   1   0   1 # 414613 # 415977 # -1 # ID=1_393;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.577
k99_2232_32          -          K23463               -            1.2e-90  303.9   2.7   1.6e-90  303.5   2.7   1.0   1   0   0   1   1   0   1 # 27800 # 29197 # -1 # ID=254_32;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.732
k99_1221_13          -          K23463               -            7.7e-82  274.9   0.1   9.3e-82  274.6   0.1   1.0   1   0   0   1   1   0   1 # 10189 # 11685 # 1 # ID=133_13;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.686
k99_1053_12          -          K23463               -            2.2e-70  237.1   0.1   2.9e-70  236.7   0.1   1.0   1   0   0   1   1   0   1 # 12254 # 13795 # -1 # ID=111_12;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.706
k99_355_3            -          K23463               -            1.3e-67  227.9   2.8     2e-67  227.4   2.8   1.1   1   0   0   1   1   0   1 # 1443 # 4580 # 1 # ID=34_3;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.713
k99_508_6            -          K23463               -            3.2e-67  226.7   1.1   4.1e-67  226.3   1.1   1.0   1   0   0   1   1   0   1 # 5845 # 7377 # 1 # ID=55_6;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.707
k99_2140_34          -          K23463               -            2.3e-49  167.8   0.0   3.2e-49  167.3   0.0   1.1   1   0   0   1   1   0   1 # 34180 # 35877 # 1 # ID=243_34;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.709
k99_750_1            -          K23463               -            1.2e-36  125.9   5.0   1.5e-36  125.5   5.0   1.1   1   0   0   1   1   0   1 # 184 # 1782 # -1 # ID=76_1;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.754
k99_1040_18          -          K23463               -            7.7e-34  116.6   2.6   2.2e-33  115.1   2.6   1.6   1   1   0   1   1   0   1 # 16935 # 18965 # 1 # ID=109_18;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.703
k99_2005_4           -          K23463               -            2.6e-32  111.5   0.8   4.1e-32  110.9   0.8   1.2   1   0   0   1   1   0   1 # 1587 # 3098 # 1 # ID=224_4;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.741
NC_022357.1_56       -          K23463               -            4.2e-13   48.2   5.0   7.7e-07   27.5   0.0   2.2   2   0   0   2   2   0   2 # 68284 # 69540 # 1 # ID=1_56;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.622
k99_979_41           -          K23463               -            7.5e-12   44.1   0.0   8.1e-12   44.0   0.0   1.0   1   0   0   1   1   0   1 # 45801 # 46022 # -1 # ID=102_41;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.640
k99_1794_4           -          K23463               -            8.1e-12   43.9   8.3   8.9e-06   24.0   0.0   2.3   2   1   0   2   2   0   2 # 4158 # 5414 # 1 # ID=158_4;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.650
k99_1201_2           -          K23463               -            2.5e-11   42.3   4.3   3.8e-11   41.7   4.3   1.3   1   0   0   1   1   0   1 # 232 # 2907 # -1 # ID=129_2;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.668
NZ_DF967532.1_8      -          K23463               -            2.8e-11   42.2   8.4   2.3e-05   22.7   0.0   2.2   1   1   1   2   2   0   2 # 5002 # 6258 # -1 # ID=66_8;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.632
k99_1469_35          -          K23463               -            3.7e-05   22.0   9.8     0.042   11.9   0.0   2.1   1   1   1   2   2   0   2 # 34105 # 35397 # -1 # ID=162_35;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.735
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /slowdata/data1/Genome_profile_software/kofam_database/profiles/K23463.hmm
# Target file:     S_denitrificans_genomes//total.faa
# Option settings: hmmsearch --tblout S_denitrificans_METABOLIC-G_out/intermediate_files/Hmmsearch_Outputs/K23463.hmm.total.hmmsearch_result.txt --domT 767.30 --cpu 1 /slowdata/data1/Genome_profile_software/kofam_database/profiles/K23463.hmm S_denitrificans_genomes//total.faa 
# Current dir:     /slowdata/data3/Northwestern_Metagenomes
# Date:            Mon Sep 21 03:13:25 2020
