#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
NZ_DF967538.1_39     -          K02492               -           6.3e-161  536.9  12.3    7e-161  536.8  12.3   1.0   1   0   0   1   1   1   1 # 40651 # 41901 # 1 # ID=60_39;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.632
k99_1835_38          -          K02492               -           2.8e-160  534.8  12.6  3.1e-160  534.7  12.6   1.0   1   0   0   1   1   1   1 # 39061 # 40311 # 1 # ID=166_38;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.631
NC_022357.1_468      -          K02492               -           2.8e-159  531.5  13.2  3.3e-159  531.3  13.2   1.0   1   0   0   1   1   1   1 # 495307 # 496557 # -1 # ID=1_468;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.626
k99_1447_8           -          K02492               -            2.6e-14   52.5   5.1   3.5e-14   52.0   5.1   1.1   1   0   0   1   1   0   1 # 8891 # 9850 # -1 # ID=160_8;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.740
k99_366_6            -          K02492               -            9.9e-11   40.6   0.3   1.3e-10   40.2   0.3   1.2   1   0   0   1   1   0   1 # 5136 # 5987 # 1 # ID=37_6;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.721
k99_2328_12          -          K02492               -            1.1e-08   33.9   2.0   1.3e-08   33.6   2.0   1.1   1   0   0   1   1   0   1 # 10355 # 11224 # 1 # ID=274_12;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.703
NZ_DF967544.1_95     -          K02492               -            1.4e-08   33.6   0.0   1.9e-08   33.1   0.0   1.1   1   0   0   1   1   0   1 # 91293 # 92111 # -1 # ID=54_95;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.620
k99_1835_28          -          K02492               -            1.6e-08   33.3   0.0   2.5e-08   32.7   0.0   1.3   1   0   0   1   1   0   1 # 28432 # 29250 # 1 # ID=166_28;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.625
k99_509_7            -          K02492               -            3.4e-08   32.2   0.9   4.4e-08   31.9   0.9   1.1   1   0   0   1   1   0   1 # 6927 # 7856 # 1 # ID=56_7;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.663
NC_022357.1_192      -          K02492               -            3.6e-08   32.1   0.0   5.3e-08   31.6   0.0   1.1   1   0   0   1   1   0   1 # 202353 # 203171 # -1 # ID=1_192;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.624
k99_1268_9           -          K02492               -            4.9e-07   28.4   2.1     5e-07   28.4   2.1   1.2   1   0   0   1   1   0   1 # 10387 # 11013 # 1 # ID=136_9;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.678
