#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
k99_1367_1           -          K02401               -           4.6e-151  503.1   2.1  5.1e-151  503.0   2.1   1.0   1   0   0   1   1   1   1 # 1 # 1137 # -1 # ID=112_1;partial=10;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.605
NC_022357.1_1242     -          K02401               -           1.5e-148  494.8   1.9  1.7e-148  494.6   1.9   1.0   1   0   0   1   1   1   1 # 1276422 # 1277564 # 1 # ID=1_1242;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.563
NZ_DF967563.1_100    -          K02401               -           6.8e-148  492.6   2.2  8.3e-148  492.4   2.2   1.0   1   0   0   1   1   1   1 # 97071 # 98213 # 1 # ID=35_100;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.589
k99_1532_9           -          K02401               -           1.8e-130  435.2   1.0    2e-130  435.0   1.0   1.0   1   0   0   1   1   1   1 # 7971 # 9050 # 1 # ID=168_9;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.645
k99_1538_2           -          K02401               -            3.1e-26   91.7   0.3   3.3e-26   91.5   0.3   1.0   1   0   0   1   1   0   1 # 61 # 378 # 1 # ID=132_2;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.594
NC_022357.1_1610     -          K02401               -            6.2e-25   87.4   0.4   7.1e-25   87.2   0.4   1.0   1   0   0   1   1   0   1 # 1660573 # 1660863 # -1 # ID=1_1610;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.598
NZ_DF967529.1_33     -          K02401               -            8.6e-25   86.9   0.3   9.9e-25   86.7   0.3   1.0   1   0   0   1   1   0   1 # 32722 # 33012 # 1 # ID=69_33;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.581
k99_664_17           -          K02401               -            1.2e-23   83.1   5.5   1.3e-23   83.0   5.5   1.0   1   0   0   1   1   0   1 # 14484 # 14759 # -1 # ID=69_17;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.714
k99_1835_30          -          K02401               -               0.81    7.9   5.0       1.2    7.3   5.0   1.2   1   0   0   1   1   0   0 # 30451 # 31893 # 1 # ID=166_30;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.615
NZ_DF967563.1_74     -          K02401               -                1.8    6.7  10.2      0.64    8.2   5.1   2.2   1   1   1   2   2   0   0 # 74036 # 74833 # 1 # ID=35_74;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.545
NZ_DF967533.1_136    -          K02401               -                3.7    5.7  12.5         5    5.2  12.5   1.1   1   0   0   1   1   0   0 # 137461 # 138063 # -1 # ID=65_136;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.575
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /slowdata/data1/Genome_profile_software/kofam_database/profiles/K02401.hmm
# Target file:     S_denitrificans_genomes//total.faa
# Option settings: hmmsearch --tblout S_denitrificans_METABOLIC-G_out/intermediate_files/Hmmsearch_Outputs/K02401.hmm.total.hmmsearch_result.txt --domT 367.60 --cpu 1 /slowdata/data1/Genome_profile_software/kofam_database/profiles/K02401.hmm S_denitrificans_genomes//total.faa 
# Current dir:     /slowdata/data3/Northwestern_Metagenomes
# Date:            Mon Sep 21 03:05:32 2020
# [ok]
