#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
k99_1077_1           -          K19411               -            2.4e-06   26.4   0.1     5e-06   25.4   0.1   1.4   1   0   0   1   1   0   1 # 1 # 2691 # 1 # ID=115_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.675
NZ_DF967563.1_131    -          K19411               -            1.5e-05   23.8   0.1   2.6e-05   23.0   0.1   1.3   1   0   0   1   1   0   1 # 122555 # 124360 # 1 # ID=35_131;partial=00;start_type=TTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.603
NC_022357.1_1274     -          K19411               -            1.8e-05   23.5   0.3   3.3e-05   22.7   0.3   1.3   1   0   0   1   1   0   1 # 1302150 # 1303892 # 1 # ID=1_1274;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.595
k99_216_10           -          K19411               -            1.9e-05   23.4   0.2   3.4e-05   22.6   0.2   1.3   1   0   0   1   1   0   1 # 9322 # 11121 # 1 # ID=15_10;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.598
k99_1538_57          -          K19411               -            0.00036   19.3   1.8   0.00072   18.3   1.8   1.4   1   0   0   1   1   0   1 # 59128 # 61221 # 1 # ID=132_57;partial=00;start_type=ATG;rbs_motif=4Base/6BMM;rbs_spacer=13-15bp;gc_cont=0.566
NZ_DF967553.1_31     -          K19411               -            0.00063   18.5   0.9    0.0015   17.2   0.9   1.7   1   0   0   1   1   0   1 # 26478 # 28493 # -1 # ID=45_31;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.558
NC_022357.1_1521     -          K19411               -            0.00072   18.3   0.9    0.0015   17.2   0.9   1.5   1   0   0   1   1   0   1 # 1562030 # 1564045 # -1 # ID=1_1521;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.554
k99_1115_29          -          K19411               -             0.0028   16.4   0.0    0.0044   15.7   0.0   1.2   1   0   0   1   1   0   1 # 21255 # 23246 # -1 # ID=122_29;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.697
k99_1798_4           -          K19411               -              0.048   12.3   0.1      0.07   11.8   0.1   1.4   1   0   0   1   1   0   0 # 3264 # 3641 # 1 # ID=200_4;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.635
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /slowdata/data1/Genome_profile_software/kofam_database/profiles/K19411.hmm
# Target file:     S_denitrificans_genomes//total.faa
# Option settings: hmmsearch --tblout S_denitrificans_METABOLIC-G_out/intermediate_files/Hmmsearch_Outputs/K19411.hmm.total.hmmsearch_result.txt --domT 66.60 --cpu 1 /slowdata/data1/Genome_profile_software/kofam_database/profiles/K19411.hmm S_denitrificans_genomes//total.faa 
# Current dir:     /slowdata/data3/Northwestern_Metagenomes
# Date:            Mon Sep 21 03:11:57 2020
# [ok]
