#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
k99_189_14           -          K03579               -                  0 1095.1  35.4         0 1094.8  35.4   1.0   1   0   0   1   1   1   1 # 12236 # 14773 # -1 # ID=19_14;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.749
NC_022357.1_2181     -          K03579               -           3.6e-151  505.1   5.8  6.3e-151  504.2   5.8   1.3   1   0   0   1   1   0   1 # 2261092 # 2265018 # 1 # ID=1_2181;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.626
NZ_DF967526.1_14     -          K03579               -           3.7e-151  505.0   4.4  3.7e-151  505.0   4.4   2.0   2   1   0   2   2   0   1 # 13272 # 17246 # -1 # ID=72_14;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.634
k99_121_9            -          K03579               -           7.2e-147  490.8   2.4  7.2e-147  490.8   2.4   2.8   2   1   0   2   2   0   1 # 7640 # 11728 # -1 # ID=8_9;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.651
k99_1040_7           -          K03579               -            8.3e-13   47.2  10.3   1.2e-12   46.6  10.3   1.2   1   0   0   1   1   0   1 # 5090 # 6880 # 1 # ID=109_7;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.730
NC_022357.1_1538     -          K03579               -            4.9e-10   38.0   3.1   6.8e-10   37.6   3.1   1.1   1   0   0   1   1   0   1 # 1584381 # 1585439 # 1 # ID=1_1538;partial=00;start_type=GTG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.595
NZ_DF967553.1_47     -          K03579               -            1.4e-09   36.5   3.9   1.9e-09   36.0   3.9   1.1   1   0   0   1   1   0   1 # 45799 # 47109 # 1 # ID=45_47;partial=00;start_type=GTG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.598
k99_2007_3           -          K03579               -            3.9e-09   35.1   4.7   5.6e-09   34.5   4.7   1.1   1   0   0   1   1   0   1 # 4031 # 5338 # 1 # ID=188_3;partial=00;start_type=GTG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.644
k99_297_16           -          K03579               -            1.2e-08   33.4   4.6   1.7e-08   32.9   4.6   1.1   1   0   0   1   1   0   1 # 17809 # 19473 # -1 # ID=27_16;partial=00;start_type=TTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.719
k99_296_28           -          K03579               -            5.7e-08   31.2   4.6   1.1e-07   30.2   4.6   1.3   1   1   0   1   1   0   1 # 31214 # 32551 # 1 # ID=25_28;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.629
NC_022357.1_1481     -          K03579               -            1.1e-07   30.2   7.6   2.2e-07   29.2   7.6   1.3   1   1   0   1   1   0   1 # 1525153 # 1526583 # 1 # ID=1_1481;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.581
NZ_DF967535.1_63     -          K03579               -            3.9e-07   28.4   4.3   8.1e-07   27.4   4.3   1.4   1   1   0   1   1   0   1 # 68837 # 70171 # -1 # ID=63_63;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.606
NZ_DF967529.1_91     -          K03579               -            4.6e-07   28.2   8.7   9.3e-07   27.2   8.7   1.4   1   1   0   1   1   0   1 # 96037 # 97446 # 1 # ID=69_91;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.568
NC_022357.1_1378     -          K03579               -            6.7e-07   27.6   3.5   1.5e-06   26.5   3.5   1.4   1   1   0   1   1   0   1 # 1410422 # 1411759 # 1 # ID=1_1378;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.605
k99_963_11           -          K03579               -              3e-06   25.5   0.6   5.5e-06   24.6   0.6   1.4   1   0   0   1   1   0   1 # 15084 # 16700 # 1 # ID=100_11;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.694
NZ_DF967544.1_65     -          K03579               -            1.3e-05   23.3  10.5     0.001   17.1  10.5   3.0   1   1   0   1   1   0   1 # 59297 # 60724 # 1 # ID=54_65;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.631
k99_1538_37          -          K03579               -            2.7e-05   22.4  10.3   5.5e-05   21.3  10.2   1.4   1   1   0   1   1   0   1 # 34006 # 35424 # 1 # ID=132_37;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.594
NC_022357.1_165      -          K03579               -            0.00013   20.1  11.2    0.0029   15.6  11.2   2.7   1   1   0   1   1   0   1 # 173768 # 175195 # 1 # ID=1_165;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.634
NZ_DF967537.1_26     -          K03579               -             0.0065   14.5   0.6     0.011   13.7   0.6   1.3   1   0   0   1   1   0   1 # 23102 # 26551 # 1 # ID=61_26;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.611
NC_022357.1_1574     -          K03579               -              0.007   14.4   0.6     0.012   13.6   0.6   1.3   1   0   0   1   1   0   1 # 1617915 # 1621376 # 1 # ID=1_1574;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.609
