accession	uniq_SCG_hits
bin_1_Betaproteobacteria	178
Candidatus_Gallionella_acididurans	179
GCA_000971475.1	181
GCA_011764585.1	182
GCF_000005845.2	161
GCF_000006765.1	176
GCF_000009145.1	182
GCF_000014765.1	180
GCF_000025565.1	157
GCF_000146165.2	167
GCF_000196355.1	181
GCF_000355765.4	180
GCF_000617925.1	149
GCF_000620045.1	166
GCF_001007935.1	177
GCF_001281465.1	176
GCF_001455205.1	181
GCF_001584165.1	180
GCF_002291405.1	177
GCF_002902925.1	181
GCF_002951835.1	179
GCF_003330785.1	182
GCF_003609995.1	144
GCF_004551665.1	176
GCF_006742785.1	180
GCF_008271425.1	180
GCF_008805035.1	173
GCF_900103035.1	180
GCF_900106555.1	182
GCF_900109785.1	181
GCF_900110145.1	179
GCF_900114305.1	180
GCF_900114795.1	182
GCF_900143275.1	180
