#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
NZ_DF967520.1_22     -          K02453               -           6.7e-182  606.5  16.7  8.2e-182  606.2  16.7   1.0   1   0   0   1   1   1   1 # 9447 # 11510 # 1 # ID=78_22;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=3-4bp;gc_cont=0.566
NC_022357.1_1293     -          K02453               -           3.3e-181  604.2  18.8  3.9e-181  603.9  18.8   1.0   1   0   0   1   1   1   1 # 1326856 # 1328919 # 1 # ID=1_1293;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.563
k99_1076_17          -          K02453               -           1.6e-130  436.7   4.7  1.9e-130  436.4   4.7   1.0   1   0   0   1   1   1   1 # 13753 # 16005 # -1 # ID=114_17;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.686
NC_022357.1_2759     -          K02453               -           2.1e-107  360.3  10.0  2.6e-107  360.0  10.0   1.0   1   0   0   1   1   1   1 # 2857275 # 2859287 # 1 # ID=1_2759;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.578
NZ_DF967539.1_6      -          K02453               -           3.8e-107  359.4  10.1  4.8e-107  359.1  10.1   1.0   1   0   0   1   1   1   1 # 5127 # 7145 # -1 # ID=59_6;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.587
k99_1497_14          -          K02453               -            1.3e-81  275.0  10.0   1.2e-72  245.5  10.5   2.3   1   1   1   2   2   0   2 # 13375 # 15531 # 1 # ID=124_14;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.562
NZ_DF967531.1_36     -          K02453               -            1.3e-80  271.7  40.5   5.9e-79  266.3  40.5   2.0   1   1   0   1   1   0   1 # 27023 # 28855 # 1 # ID=67_36;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.589
NZ_DF967522.1_140    -          K02453               -            1.4e-80  271.6  11.2   1.5e-78  264.9  10.4   2.2   1   1   0   1   1   0   1 # 152501 # 154654 # 1 # ID=76_140;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.519
NC_022357.1_2892     -          K02453               -            5.6e-80  269.6  12.1   1.3e-77  261.8  11.9   2.1   1   1   0   1   1   0   1 # 3013895 # 3016036 # 1 # ID=1_2892;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.525
k99_938_22           -          K02453               -            1.6e-79  268.1  32.6   1.4e-77  261.7  32.6   2.0   1   1   0   1   1   0   1 # 20622 # 22559 # -1 # ID=73_22;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.598
NC_022357.1_570      -          K02453               -            1.6e-79  268.1  40.1   8.1e-78  262.5  40.1   2.0   1   1   0   1   1   0   1 # 592507 # 594333 # -1 # ID=1_570;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.591
NC_022357.1_2617     -          K02453               -            9.3e-74  249.1  29.2   2.6e-72  244.3  29.2   2.0   1   1   0   1   1   0   1 # 2716418 # 2718256 # -1 # ID=1_2617;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.537
k99_2306_20          -          K02453               -            1.1e-51  176.1  12.9   1.1e-51  176.1  12.9   1.3   1   1   0   1   1   0   1 # 18837 # 20345 # 1 # ID=267_20;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.677
NC_022357.1_1933     -          K02453               -            1.2e-14   53.7   0.5   2.5e-14   52.6   0.5   1.4   1   1   0   1   1   0   1 # 2012471 # 2013334 # -1 # ID=1_1933;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.603
NZ_DF967585.1_47     -          K02453               -            1.5e-13   50.1   0.8   5.1e-13   48.3   0.8   1.7   1   1   0   1   1   0   1 # 50796 # 51656 # -1 # ID=13_47;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.621
NC_022357.1_667      -          K02453               -               0.42    9.0   5.8       0.5    8.7   5.8   1.1   1   0   0   1   1   0   0 # 676492 # 677292 # 1 # ID=1_667;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.571
