assembly_id	label	label_source	taxid	num_SCG_hits	uniq_SCG_hits	perc_comp	perc_redund	num_SCG_hits_after_len_filt	in_final_tree	NCBI_domain	NCBI_phylum	NCBI_class	NCBI_order	NCBI_family	NCBI_genus	NCBI_species
GCA_000971475.1	GCA_000971475.1_Bacteria_Proteobacteria_Betaproteobacteria_Sulfuricella_sp_T08_T08	NCBI	1632857	190	181	89.16	4.43	181	Yes	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Sulfuricellaceae	Sulfuricella	Sulfuricella sp. T08
GCA_011764585.1	GCA_011764585.1_Bacteria_Proteobacteria_Betaproteobacteria_Sulfurimicrobium_lacus_skT11	NCBI	2715678	195	187	92.12	4.93	182	Yes	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Sulfuricellaceae	Sulfurimicrobium	Sulfurimicrobium lacus
GCF_000005845.2	GCF_000005845.2_Bacteria_Proteobacteria_Gammaproteobacteria_Escherichia_coli_K-12_substr._MG1655	NCBI	511145	183	168	82.76	11.33	161	Yes	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
GCF_000006765.1	GCF_000006765.1_Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonas_aeruginosa_PAO1	NCBI	208964	192	181	89.16	5.42	176	Yes	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
GCF_000007705.1	GCF_000007705.1_Bacteria_Proteobacteria_Betaproteobacteria_Chromobacterium_violaceum_ATCC_12472	NCBI	243365	202	196	96.55	2.96	196	Yes	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Chromobacteriaceae	Chromobacterium	Chromobacterium violaceum
GCF_000009125.1	GCF_000009125.1_Bacteria_Proteobacteria_Betaproteobacteria_Ralstonia_solanacearum_GMI1000	NCBI	267608	202	199	98.03	1.48	192	Yes	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	Ralstonia solanacearum
GCF_000009145.1	GCF_000009145.1_Bacteria_Proteobacteria_Betaproteobacteria_Nitrosomonas_europaea_ATCC_19718	NCBI	228410	189	185	91.13	1.97	182	Yes	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosomonas	Nitrosomonas europaea
GCF_000012745.1	GCF_000012745.1_Bacteria_Proteobacteria_Betaproteobacteria_Thiobacillus_denitrificans_ATCC_25259	NCBI	292415	200	198	97.54	0.99	197	Yes	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Thiobacillaceae	Thiobacillus	Thiobacillus denitrificans
GCF_000012945.1	GCF_000012945.1_Bacteria_Proteobacteria_Betaproteobacteria_Burkholderia_lata_383	NCBI	482957	203	199	98.03	1.97	189	Yes	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia lata
GCF_000013645.1	GCF_000013645.1_Bacteria_Proteobacteria_Betaproteobacteria_Paraburkholderia_xenovorans_LB400	NCBI	266265	203	194	95.57	4.93	183	Yes	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Paraburkholderia	Paraburkholderia xenovorans
GCF_000013705.1	GCF_000013705.1_Bacteria_Proteobacteria_Betaproteobacteria_Methylobacillus_flagellatus_KT	NCBI	265072	191	183	90.15	4.93	183	Yes	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Methylophilaceae	Methylobacillus	Methylobacillus flagellatus
GCF_000014765.1	GCF_000014765.1_Bacteria_Proteobacteria_Betaproteobacteria_Nitrosomonas_eutropha_C91	NCBI	335283	187	184	90.64	1.97	180	Yes	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosomonas	Nitrosomonas eutropha
GCF_000015565.1	GCF_000015565.1_Bacteria_Proteobacteria_Betaproteobacteria_Verminephrobacter_eiseniae_EF01-2	NCBI	391735	195	192	94.58	1.48	183	Yes	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Verminephrobacter	Verminephrobacter eiseniae
