#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
NC_022357.1_1070     -          K19710               -            8.4e-30  103.8   0.1     1e-29  103.5   0.1   1.0   1   0   0   1   1   0   1 # 1087653 # 1088015 # 1 # ID=1_1070;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.496
k99_1300_19          -          K19710               -            5.6e-14   51.9   0.1   6.1e-14   51.8   0.1   1.0   1   0   0   1   1   0   1 # 13991 # 14416 # 1 # ID=138_19;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.671
NC_022357.1_278      -          K19710               -            6.3e-13   48.5   1.4   6.9e-13   48.3   1.4   1.1   1   0   0   1   1   0   1 # 297207 # 297623 # 1 # ID=1_278;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.590
k99_312_2            -          K19710               -            1.8e-12   47.0   2.2   1.9e-12   46.9   2.2   1.1   1   0   0   1   1   0   1 # 2170 # 2592 # 1 # ID=27_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.612
NZ_DF967544.1_128    -          K19710               -            3.8e-12   45.9   1.4   4.3e-12   45.7   1.4   1.1   1   0   0   1   1   0   1 # 127958 # 128374 # -1 # ID=54_128;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.588
NZ_DF967531.1_13     -          K19710               -            1.8e-11   43.7   0.8   2.1e-11   43.4   0.8   1.0   1   0   0   1   1   0   1 # 10449 # 10784 # -1 # ID=67_13;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.577
k99_80_5             -          K19710               -            2.9e-11   43.0   1.4   3.4e-11   42.8   1.4   1.0   1   0   0   1   1   0   1 # 1778 # 2113 # -1 # ID=3_5;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.592
NC_022357.1_591      -          K19710               -            6.1e-11   41.9   0.9   7.3e-11   41.7   0.9   1.0   1   0   0   1   1   0   1 # 609594 # 609929 # 1 # ID=1_591;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.562
k99_750_2            -          K19710               -              0.064   12.4   0.0     0.088   11.9   0.0   1.2   1   0   0   1   1   0   0 # 1779 # 2597 # -1 # ID=76_2;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.716
NZ_DF967585.1_131    -          K19710               -              0.092   11.8   0.3      0.25   10.4   0.1   1.7   2   0   0   2   2   0   0 # 138595 # 139650 # -1 # ID=13_131;partial=00;start_type=TTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.558
k99_364_12           -          K19710               -              0.097   11.8   0.1      0.11   11.6   0.1   1.1   1   0   0   1   1   0   0 # 11959 # 12366 # -1 # ID=36_12;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.723
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /slowdata/data1/Genome_profile_software/kofam_database/profiles/K19710.hmm
# Target file:     S_denitrificans_genomes//total.faa
# Option settings: hmmsearch --tblout S_denitrificans_METABOLIC-G_out/intermediate_files/Hmmsearch_Outputs/K19710.hmm.total.hmmsearch_result.txt --domT 128.70 --cpu 1 /slowdata/data1/Genome_profile_software/kofam_database/profiles/K19710.hmm S_denitrificans_genomes//total.faa 
# Current dir:     /slowdata/data3/Northwestern_Metagenomes
# Date:            Mon Sep 21 03:12:05 2020
# [ok]
