#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
k99_1145_87          -          K22187               -             1e-165  551.4   0.1  1.2e-165  551.1   0.1   1.0   1   0   0   1   1   0   1 # 92222 # 93688 # -1 # ID=92_87;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.580
k99_1110_12          -          K22187               -           4.8e-145  483.2   4.2  5.4e-145  483.1   4.2   1.0   1   0   0   1   1   0   1 # 14955 # 16421 # -1 # ID=121_12;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.704
k99_1436_6           -          K22187               -           4.1e-144  480.2   6.2  5.2e-144  479.8   6.2   1.0   1   0   0   1   1   0   1 # 7846 # 9297 # -1 # ID=158_6;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.701
k99_575_2            -          K22187               -           4.7e-141  470.1   5.7  5.9e-141  469.8   5.7   1.0   1   0   0   1   1   0   1 # 1245 # 2702 # 1 # ID=62_2;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.710
k99_1221_13          -          K22187               -           9.3e-138  459.2   0.4  1.1e-137  458.9   0.4   1.0   1   0   0   1   1   0   1 # 10189 # 11685 # 1 # ID=133_13;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.686
k99_509_4            -          K22187               -           2.1e-136  454.8   0.3  2.8e-136  454.3   0.3   1.0   1   0   0   1   1   0   1 # 2816 # 4273 # -1 # ID=56_4;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.674
k99_1768_21          -          K22187               -           9.3e-136  452.6   0.5  1.1e-135  452.3   0.5   1.0   1   0   0   1   1   0   1 # 17036 # 18526 # -1 # ID=197_21;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.711
k99_1372_20          -          K22187               -           5.2e-133  443.6   0.5  6.1e-133  443.3   0.5   1.0   1   0   0   1   1   0   1 # 23831 # 25276 # 1 # ID=150_20;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.716
k99_1004_5           -          K22187               -           6.3e-131  436.7   8.0  7.6e-131  436.4   8.0   1.0   1   0   0   1   1   0   1 # 4016 # 5485 # -1 # ID=103_5;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.725
k99_508_6            -          K22187               -           1.8e-127  425.3   2.2  2.2e-127  425.0   2.2   1.0   1   0   0   1   1   0   1 # 5845 # 7377 # 1 # ID=55_6;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.707
k99_1024_36          -          K22187               -           1.4e-126  422.3  11.3  1.7e-126  422.1  11.3   1.0   1   0   0   1   1   0   1 # 33509 # 34954 # 1 # ID=107_36;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.697
k99_1053_12          -          K22187               -           5.3e-125  417.1   0.4  6.7e-125  416.8   0.4   1.0   1   0   0   1   1   0   1 # 12254 # 13795 # -1 # ID=111_12;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.706
k99_1794_35          -          K22187               -           8.2e-125  416.5   0.0    1e-124  416.2   0.0   1.0   1   0   0   1   1   0   1 # 37658 # 39022 # -1 # ID=158_35;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.633
NZ_DF967525.1_64     -          K22187               -           1.2e-121  406.1   0.0  1.4e-121  405.9   0.0   1.0   1   0   0   1   1   0   1 # 72396 # 73760 # 1 # ID=73_64;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.605
NC_022357.1_393      -          K22187               -             4e-121  404.4   0.0  4.7e-121  404.1   0.0   1.0   1   0   0   1   1   0   1 # 414613 # 415977 # -1 # ID=1_393;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.577
k99_2232_32          -          K22187               -           2.1e-116  388.8   6.0  2.7e-116  388.5   6.0   1.0   1   0   0   1   1   0   1 # 27800 # 29197 # -1 # ID=254_32;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.732
k99_355_3            -          K22187               -           1.4e-112  376.2   5.8  2.1e-112  375.6   5.8   1.2   1   0   0   1   1   0   1 # 1443 # 4580 # 1 # ID=34_3;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.713
k99_2140_34          -          K22187               -            1.6e-63  214.4   0.0   2.5e-63  213.7   0.0   1.2   1   0   0   1   1   0   1 # 34180 # 35877 # 1 # ID=243_34;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.709
k99_750_1            -          K22187               -            1.4e-55  188.2   9.6   1.7e-55  187.9   9.6   1.1   1   0   0   1   1   0   1 # 184 # 1782 # -1 # ID=76_1;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.754
k99_1040_18          -          K22187               -              2e-55  187.7   3.0   2.7e-55  187.2   3.0   1.1   1   0   0   1   1   0   1 # 16935 # 18965 # 1 # ID=109_18;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.703
k99_2005_4           -          K22187               -            4.3e-45  153.6   7.1   7.6e-45  152.8   7.1   1.3   1   1   0   1   1   0   1 # 1587 # 3098 # 1 # ID=224_4;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.741
NC_022357.1_56       -          K22187               -            2.9e-21   75.0  13.2   1.5e-11   43.0   0.0   2.5   2   1   0   2   2   0   2 # 68284 # 69540 # 1 # ID=1_56;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.622
NZ_DF967532.1_8      -          K22187               -              8e-21   73.6  13.3   1.9e-10   39.4   0.0   2.6   2   1   0   2   2   0   2 # 5002 # 6258 # -1 # ID=66_8;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.632
k99_1794_4           -          K22187               -            8.2e-21   73.5  15.6   1.4e-10   39.8   0.0   2.9   2   1   0   2   2   0   2 # 4158 # 5414 # 1 # ID=158_4;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.650
k99_1201_2           -          K22187               -            3.6e-19   68.1   3.9   1.6e-18   66.0   3.9   1.9   1   1   0   1   1   0   1 # 232 # 2907 # -1 # ID=129_2;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.668
k99_1469_35          -          K22187               -            3.6e-15   55.0  17.8   3.3e-07   28.7   0.0   2.5   1   1   1   2   2   0   2 # 34105 # 35397 # -1 # ID=162_35;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.735
k99_979_41           -          K22187               -            3.1e-06   25.5   0.0   3.2e-06   25.4   0.0   1.0   1   0   0   1   1   0   1 # 45801 # 46022 # -1 # ID=102_41;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.640
NC_022357.1_244      -          K22187               -              0.027   12.5   0.2     0.035   12.1   0.2   1.1   1   0   0   1   1   0   0 # 262546 # 263106 # 1 # ID=1_244;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.504
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /slowdata/data1/Genome_profile_software/kofam_database/profiles/K22187.hmm
# Target file:     S_denitrificans_genomes//total.faa
# Option settings: hmmsearch --tblout S_denitrificans_METABOLIC-G_out/intermediate_files/Hmmsearch_Outputs/K22187.hmm.total.hmmsearch_result.txt --domT 558.83 --cpu 1 /slowdata/data1/Genome_profile_software/kofam_database/profiles/K22187.hmm S_denitrificans_genomes//total.faa 
# Current dir:     /slowdata/data3/Northwestern_Metagenomes
# Date:            Mon Sep 21 03:12:59 2020
# [ok]
