assembly_id	num_SCG_hits	uniq_SCG_hits	perc_comp	perc_redund
GCA_011764585.1	116	107	89.92	13.45
GCF_000013645.1	119	112	94.12	10.08
GCF_000297055.2	117	111	93.28	10.92
GCF_001742165.1	119	108	90.76	10.08
