#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
k99_2140_17          -          K03619               -            3.1e-41  139.9   1.4   3.6e-41  139.6   1.4   1.1   1   0   0   1   1   1   1 # 16870 # 17337 # -1 # ID=243_17;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=3-4bp;gc_cont=0.707
NC_022357.1_2637     -          K03619               -            1.5e-06   27.5   0.1   1.7e-06   27.3   0.1   1.2   1   0   0   1   1   0   1 # 2735134 # 2735310 # -1 # ID=1_2637;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.548
k99_2321_29          -          K03619               -            3.6e-06   26.3   0.1     5e-06   25.8   0.1   1.2   1   0   0   1   1   0   1 # 28606 # 29025 # 1 # ID=217_29;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.564
NZ_DF967539.1_116    -          K03619               -            5.2e-06   25.8   0.1   7.9e-06   25.2   0.1   1.3   1   0   0   1   1   0   1 # 119101 # 119520 # 1 # ID=59_116;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.545
NZ_DF967527.1_32     -          K03619               -             0.0002   20.6   0.0   0.00035   19.8   0.0   1.3   1   0   0   1   1   0   1 # 28467 # 29333 # 1 # ID=71_32;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.579
NC_022357.1_2145     -          K03619               -            0.00031   20.0   0.0   0.00062   19.0   0.0   1.4   1   0   0   1   1   0   1 # 2225832 # 2226758 # -1 # ID=1_2145;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.570
NC_022357.1_2055     -          K03619               -            0.00078   18.7   0.0    0.0016   17.7   0.0   1.6   1   1   0   1   1   0   1 # 2142780 # 2143175 # -1 # ID=1_2055;partial=00;start_type=GTG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.543
NZ_DF967585.1_167    -          K03619               -             0.0014   17.9   0.0    0.0018   17.5   0.0   1.4   1   1   0   1   1   0   1 # 178409 # 178804 # -1 # ID=13_167;partial=00;start_type=GTG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.556
k99_189_2            -          K03619               -             0.0015   17.8   0.0    0.0021   17.3   0.0   1.2   1   0   0   1   1   0   1 # 820 # 1143 # 1 # ID=19_2;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.660
NC_022357.1_729      -          K03619               -             0.0022   17.2   0.0    0.0032   16.7   0.0   1.2   1   0   0   1   1   0   1 # 740005 # 740331 # -1 # ID=1_729;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.505
NZ_DF967523.1_19     -          K03619               -             0.0022   17.2   0.0    0.0032   16.7   0.0   1.2   1   0   0   1   1   0   1 # 22558 # 22884 # -1 # ID=75_19;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.535
k99_1488_14          -          K03619               -             0.0026   17.0   0.0    0.0037   16.5   0.0   1.2   1   0   0   1   1   0   1 # 10952 # 11278 # -1 # ID=123_14;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.560
NZ_DF967548.1_17     -          K03619               -             0.0039   16.4   0.0    0.0048   16.1   0.0   1.2   1   0   0   1   1   0   1 # 14416 # 14787 # 1 # ID=50_17;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.570
k99_1836_2           -          K03619               -              0.004   16.4   0.1    0.0077   15.5   0.0   1.5   1   1   0   1   1   0   1 # 1608 # 1979 # -1 # ID=167_2;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.602
k99_2134_10          -          K03619               -             0.0052   16.1   0.0    0.0067   15.7   0.0   1.2   1   0   0   1   1   0   1 # 7031 # 7402 # -1 # ID=205_10;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.575
NC_022357.1_2300     -          K03619               -             0.0053   16.0   0.0    0.0067   15.7   0.0   1.2   1   0   0   1   1   0   1 # 2396189 # 2396560 # 1 # ID=1_2300;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.559
NC_022357.1_1342     -          K03619               -              0.053   12.8   0.0     0.093   12.0   0.0   1.3   1   0   0   1   1   0   0 # 1379618 # 1380004 # -1 # ID=1_1342;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.553
NZ_DF967535.1_99     -          K03619               -              0.055   12.7   0.0     0.092   12.0   0.0   1.3   1   0   0   1   1   0   0 # 101590 # 101970 # 1 # ID=63_99;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.572
k99_944_7            -          K03619               -              0.063   12.5   0.1      0.18   11.1   0.2   1.6   2   0   0   2   2   0   0 # 5812 # 6252 # -1 # ID=97_7;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.717
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /slowdata/data1/Genome_profile_software/kofam_database/profiles/K03619.hmm
# Target file:     S_denitrificans_genomes//total.faa
# Option settings: hmmsearch --tblout S_denitrificans_METABOLIC-G_out/intermediate_files/Hmmsearch_Outputs/K03619.hmm.total.hmmsearch_result.txt --domT 67.63 --cpu 1 /slowdata/data1/Genome_profile_software/kofam_database/profiles/K03619.hmm S_denitrificans_genomes//total.faa 
# Current dir:     /slowdata/data3/Northwestern_Metagenomes
# Date:            Mon Sep 21 03:06:20 2020
# [ok]
