#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
NZ_DF967548.1_119    -          K03589               -            7.1e-52  176.8   0.9   8.9e-52  176.5   0.9   1.0   1   0   0   1   1   1   1 # 122340 # 123146 # -1 # ID=50_119;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.597
NC_022357.1_2428     -          K03589               -            8.2e-52  176.6   0.9   9.9e-52  176.3   0.9   1.0   1   0   0   1   1   1   1 # 2537374 # 2538162 # -1 # ID=1_2428;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.574
k99_109_6            -          K03589               -            8.2e-50  170.0   0.4   9.5e-50  169.8   0.4   1.0   1   0   0   1   1   1   1 # 5321 # 6022 # -1 # ID=6_6;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.610
k99_2021_13          -          K03589               -            1.2e-40  139.9   1.2   1.4e-40  139.7   1.2   1.0   1   0   0   1   1   1   1 # 15046 # 15858 # -1 # ID=227_13;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.705
k99_1335_5           -          K03589               -            4.2e-07   29.4   2.9   0.00084   18.6   0.2   2.8   2   1   0   2   2   0   2 # 3456 # 6140 # -1 # ID=145_5;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.647
k99_1538_14          -          K03589               -            2.4e-06   27.0   1.5      0.29   10.2   0.0   4.6   5   0   0   5   5   0   3 # 11797 # 14109 # 1 # ID=132_14;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.527
NZ_DF967529.1_48     -          K03589               -            1.4e-05   24.4   1.5      0.24   10.5   0.1   4.6   4   1   0   5   5   0   2 # 49557 # 51869 # 1 # ID=69_48;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.523
NC_022357.1_1595     -          K03589               -            0.00012   21.3   0.6       1.1    8.3   0.1   4.6   4   1   0   5   5   0   1 # 1641798 # 1644092 # -1 # ID=1_1595;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.515
k99_910_13           -          K03589               -               0.38    9.8   1.8      0.38    9.8   1.8   1.1   1   0   0   1   1   0   0 # 16743 # 17162 # 1 # ID=94_13;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.676
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /slowdata/data1/Genome_profile_software/kofam_database/profiles/K03589.hmm
# Target file:     S_denitrificans_genomes//total.faa
# Option settings: hmmsearch --tblout S_denitrificans_METABOLIC-G_out/intermediate_files/Hmmsearch_Outputs/K03589.hmm.total.hmmsearch_result.txt --domT 47.27 --cpu 1 /slowdata/data1/Genome_profile_software/kofam_database/profiles/K03589.hmm S_denitrificans_genomes//total.faa 
# Current dir:     /slowdata/data3/Northwestern_Metagenomes
# Date:            Mon Sep 21 03:06:19 2020
# [ok]
