#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
k99_1400_6           -          K22409               -            2.9e-34  118.1   1.3   9.6e-20   70.4   0.3   2.5   1   1   2   3   3   0   3 # 7359 # 9002 # -1 # ID=117_6;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.592
NZ_DF967563.1_9      -          K22409               -            5.5e-31  107.3   2.4   1.6e-19   69.6   0.7   2.2   1   1   1   2   2   0   2 # 11270 # 12988 # -1 # ID=35_9;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.575
NC_022357.1_1149     -          K22409               -            3.8e-30  104.6   3.6   5.6e-19   67.8   1.6   2.2   1   1   1   2   2   0   2 # 1182399 # 1184108 # -1 # ID=1_1149;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.562
k99_700_16           -          K22409               -            2.6e-17   62.4   0.0   9.8e-11   40.7   0.0   2.4   2   0   0   2   2   0   2 # 14070 # 15638 # 1 # ID=75_16;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.720
k99_700_17           -          K22409               -            2.6e-17   62.4   0.0   9.8e-11   40.7   0.0   2.4   2   0   0   2   2   0   2 # 15791 # 17359 # -1 # ID=75_17;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.720
NZ_DF967524.1_72     -          K22409               -            8.7e-12   44.2   0.0   1.3e-11   43.6   0.0   1.3   1   0   0   1   1   0   1 # 70635 # 71528 # 1 # ID=74_72;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.539
k99_2217_9           -          K22409               -            1.7e-11   43.2   0.0   2.7e-11   42.6   0.0   1.2   1   0   0   1   1   0   1 # 10280 # 11323 # -1 # ID=211_9;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.566
NC_022357.1_1104     -          K22409               -              1e-10   40.7   0.1   1.7e-10   40.0   0.1   1.4   1   0   0   1   1   0   1 # 1123311 # 1124204 # 1 # ID=1_1104;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.549
NZ_DF967522.1_242    -          K22409               -              0.032   12.8   0.0     0.079   11.5   0.0   1.6   2   0   0   2   2   0   0 # 287804 # 288838 # -1 # ID=76_242;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.546
NC_022357.1_9        -          K22409               -              0.047   12.2   0.0     0.087   11.3   0.0   1.4   1   0   0   1   1   0   0 # 10880 # 11914 # -1 # ID=1_9;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.544
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /slowdata/data1/Genome_profile_software/kofam_database/profiles/K22409.hmm
# Target file:     S_denitrificans_genomes//total.faa
# Option settings: hmmsearch --tblout S_denitrificans_METABOLIC-G_out/intermediate_files/Hmmsearch_Outputs/K22409.hmm.total.hmmsearch_result.txt --domT 334.73 --cpu 1 /slowdata/data1/Genome_profile_software/kofam_database/profiles/K22409.hmm S_denitrificans_genomes//total.faa 
# Current dir:     /slowdata/data3/Northwestern_Metagenomes
# Date:            Mon Sep 21 03:13:05 2020
# [ok]
