type	gene	abbr	position	description
AA	5-formyltetrahydrofolate cyclo-ligase	5-FTHF_cyc-lig	1-153	"5-formyltetrahydrofolate cyclo-ligase or methenyl-THF synthetase EC:6.3.3.2 catalyses the interchange of 5-formyltetrahydrofolate (5-FTHF) to 5-10-methenyltetrahydrofolate, this requires ATP and Mg2+ [1]. 5-FTHF is used in chemotherapy where it is clinically known as Leucovorin [2]."
AA	Adenylate kinase	ADK	159-374	"Adenylate kinase (EC 2.7.4.3) (also known as ADK or myokinase) is a phosphotransferase enzyme that catalyzes the interconversion of adenine nucleotides (ATP, ADP, and AMP). By constantly monitoring phosphate nucleotide levels inside the cell, ADK plays an important role in cellular energy homeostasis."
AA	AICARFT/IMPCHase bienzyme	AICARFT_IMPCHas	380-896	"This is a family of bifunctional enzymes catalysing the last two steps in de novo purine biosynthesis. The bifunctional enzyme is found in both prokaryotes and eukaryotes. The second last step is catalysed by 5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase EC:2.1.2.3 (AICARFT), this enzyme catalyses the formylation of AICAR with 10-formyl-tetrahydrofolate to yield FAICAR and tetrahydrofolate [1]. This is catalysed by a pair of C-terminal deaminase fold domains in the protein [3] where the active site is formed by the dimeric interface of two monomeric units [3]. The last step is catalysed by the N-terminal IMP (Inosine monophosphate) cyclohydrolase domain EC:3.5.4.10 (IMPCHase), cyclizing FAICAR (5-formylaminoimidazole-4-carboxamide ribonucleotide) to IMP [1]."
AA	AIR carboxylase	AIRC	902-1075	Members of this family catalyse the decarboxylation of 1-(5-phosphoribosyl)-5-amino-4-imidazole-carboxylate (AIR). This family catalyse the sixth step of de novo purine biosynthesis. Some members of this family contain two copies of this domain.
AA	Delta-aminolevulinic acid dehydratase	ALAD	1081-1409	"Porphobilinogen synthase (or ALA dehydratase, or aminolevulinate dehydratase) synthesizes porphobilinogen through the asymmetric condensation of two molecules of aminolevulinic acid. All natural tetrapyrroles, including hemes, chlorophylls and vitamin B12, share porphobilinogen as a common precursor. The porphobilinogen synthase catalyzed reaction is the first common step in the biosynthesis of all biological tetrapyrroles."
AA	Anhydro-N-acetylmuramic acid kinase	AnmK	1415-1708	"Anhydro-N-acetylmuramic acid kinase catalyses the specific phosphorylation of 1,6-anhydro-N-acetylmuramic acid (anhMurNAc) with the simultaneous cleavage of the 1,6-anhydro ring, generating MurNAc-6-P. It is also required for the utilization of anhMurNAc, either imported from the medium, or derived from its own cell wall murein, and in so doing plays a role in cell wall recycling [1,2]."
AA	ArgJ protein family	ArgJ	1714-2121	"In molecular biology, members of the ArgJ protein family are bifunctional protein that catalyses the first (EC 2.3.1.35) and fifth steps (EC 2.3.1.1) in arginine biosynthesis.[1] The structure has been determined for glutamate N-acetyltransferase 2 (ornithine acetyltransferase), an ArgJ-like protein from Streptomyces clavuligerus.[2]"
AA		ATP_bind_2	2127-2375	
AA		Bax1-I	2381-2573	
AA		BMFP	2579-2643	
