Module ID	Module	Module Category	GCF_000297055.2_ASM29705v2_genomic Module presence	GCF_000971475.1_ASM97147v1_genomic Module presence	bin_1_Betaproteobacteria Module presence	bin_2_Rhizobiales Module presence
M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	Central carbohydrate metabolism	Present	Present	Present	Present
M00002	Glycolysis, core module involving three-carbon compounds	Central carbohydrate metabolism	Present	Present	Present	Present
M00003	Gluconeogenesis, oxaloacetate => fructose-6P	Central carbohydrate metabolism	Absent	Absent	Present	Present
M00004	Pentose phosphate pathway (Pentose phosphate cycle)	Central carbohydrate metabolism	Present	Present	Present	Present
M00005	PRPP biosynthesis, ribose 5P => PRPP	Central carbohydrate metabolism	Present	Present	Present	Present
M00006	Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P	Central carbohydrate metabolism	Present	Present	Present	Present
M00007	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	Central carbohydrate metabolism	Present	Present	Present	Present
M00008	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	Central carbohydrate metabolism	Absent	Absent	Absent	Present
M00009	Citrate cycle (TCA cycle, Krebs cycle)	Central carbohydrate metabolism	Present	Present	Present	Present
M00010	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	Central carbohydrate metabolism	Present	Present	Present	Present
M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	Central carbohydrate metabolism	Present	Present	Present	Present
M00012	Glyoxylate cycle	Other carbohydrate metabolism	Absent	Absent	Absent	Present
M00013	Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA	Other carbohydrate metabolism	Absent	Absent	Absent	Absent
M00014	Glucuronate pathway (uronate pathway)	Other carbohydrate metabolism	Absent	Absent	Absent	Absent
M00015	Proline biosynthesis, glutamate => proline	Arginine and proline metabolism	Present	Present	Present	Present
M00016	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine	Lysine metabolism	Present	Present	Present	Present
M00017	Methionine biosynthesis, apartate => homoserine => methionine	Cysteine and methionine metabolism	Absent	Absent	Absent	Absent
M00018	Threonine biosynthesis, aspartate => homoserine => threonine	Serine and threonine metabolism	Present	Present	Present	Present
M00019	Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine	Branched-chain amino acid metabolism	Present	Present	Present	Present
M00020	Serine biosynthesis, glycerate-3P => serine	Serine and threonine metabolism	Absent	Absent	Absent	Present
M00021	Cysteine biosynthesis, serine => cysteine	Cysteine and methionine metabolism	Present	Present	Present	Present
M00022	Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate	Aromatic amino acid metabolism	Present	Present	Present	Present
M00023	Tryptophan biosynthesis, chorismate => tryptophan	Aromatic amino acid metabolism	Present	Present	Present	Present
M00024	Phenylalanine biosynthesis, chorismate => phenylalanine	Aromatic amino acid metabolism	Absent	Absent	Absent	Absent
M00025	Tyrosine biosynthesis, chorismate => tyrosine	Aromatic amino acid metabolism	Absent	Absent	Absent	Absent
M00026	Histidine biosynthesis, PRPP => histidine	Histidine metabolism	Present	Present	Present	Absent
M00027	GABA (gamma-Aminobutyrate) shunt	Other amino acid metabolism	Absent	Absent	Absent	Absent
M00028	Ornithine biosynthesis, glutamate => ornithine	Arginine and proline metabolism	Present	Present	Present	Present
M00029	Urea cycle	Arginine and proline metabolism	Absent	Present	Absent	Absent
M00030	Lysine biosynthesis, AAA pathway, 2-oxoglutarate => 2-aminoadipate => lysine	Lysine metabolism	Absent	Absent	Absent	Absent
M00031	Lysine biosynthesis, mediated by LysW, 2-aminoadipate => lysine	Lysine metabolism	Absent	Absent	Absent	Absent
M00032	Lysine degradation, lysine => saccharopine => acetoacetyl-CoA	Lysine metabolism	Absent	Absent	Absent	Absent
M00033	Ectoine biosynthesis, aspartate => ectoine	Serine and threonine metabolism	Absent	Absent	Absent	Absent
M00034	Methionine salvage pathway	Cysteine and methionine metabolism	Absent	Absent	Absent	Absent
M00035	Methionine degradation	Cysteine and methionine metabolism	Present	Absent	Absent	Present
M00036	Leucine degradation, leucine => acetoacetate + acetyl-CoA	Branched-chain amino acid metabolism	Absent	Absent	Absent	Present
M00037	Melatonin biosynthesis, tryptophan => serotonin => melatonin	Aromatic amino acid metabolism	Absent	Absent	Absent	Absent
M00038	Tryptophan metabolism, tryptophan => kynurenine => 2-aminomuconate	Aromatic amino acid metabolism	Absent	Absent	Absent	Absent
M00039	Monolignol biosynthesis, phenylalanine/tyrosine => monolignol	Biosynthesis of other secondary metabolites	Absent	Absent	Absent	Absent
M00040	Tyrosine biosynthesis, prephanate => pretyrosine => tyrosine	Aromatic amino acid metabolism	Absent	Absent	Absent	Absent
M00042	Catecholamine biosynthesis, tyrosine => dopamine => noradrenaline => adrenaline	Aromatic amino acid metabolism	Absent	Absent	Absent	Absent
M00043	Thyroid hormone biosynthesis, tyrosine => triiodothyronine/thyroxine	Aromatic amino acid metabolism	Absent	Absent	Absent	Absent
M00044	Tyrosine degradation, tyrosine => homogentisate	Aromatic amino acid metabolism	Absent	Absent	Absent	Absent
M00045	Histidine degradation, histidine => N-formiminoglutamate => glutamate	Histidine metabolism	Absent	Absent	Absent	Present
M00046	Pyrimidine degradation, uracil => beta-alanine, thymine => 3-aminoisobutanoate	Pyrimidine metabolism	Absent	Absent	Absent	Absent
M00047	Creatine pathway	Arginine and proline metabolism	Absent	Absent	Absent	Absent
M00048	Inosine monophosphate biosynthesis, PRPP + glutamine => IMP	Purine metabolism	Present	Present	Present	Present
M00049	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP	Purine metabolism	Present	Present	Present	Present
M00050	Guanine ribonucleotide biosynthesis IMP => GDP,GTP	Purine metabolism	Present	Present	Present	Present
M00051	Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	Pyrimidine metabolism	Present	Present	Present	Present
M00052	Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP	Pyrimidine metabolism	Present	Present	Present	Present
M00053	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	Pyrimidine metabolism	Present	Present	Present	Present
M00055	N-glycan precursor biosynthesis	Glycan biosynthesis	Absent	Absent	Absent	Absent
M00056	O-glycan biosynthesis, mucin type core	Glycan biosynthesis	Absent	Absent	Absent	Absent
M00057	Glycosaminoglycan biosynthesis, linkage tetrasaccharide	Glycosaminoglycan metabolism	Absent	Absent	Absent	Absent
M00058	Glycosaminoglycan biosynthesis, chondroitin sulfate backbone	Glycosaminoglycan metabolism	Absent	Absent	Absent	Absent
M00059	Glycosaminoglycan biosynthesis, heparan sulfate backbone	Glycosaminoglycan metabolism	Absent	Absent	Absent	Absent
M00060	Lipopolysaccharide biosynthesis, KDO2-lipid A	Lipopolysaccharide metabolism	Present	Present	Present	Present
M00061	D-Glucuronate degradation, D-glucuronate => pyruvate + D-glyceraldehyde 3P	Other carbohydrate metabolism	Absent	Absent	Absent	Present
M00063	CMP-KDO biosynthesis	Lipopolysaccharide metabolism	Present	Present	Present	Present
M00064	ADP-L-glycero-D-manno-heptose biosynthesis	Lipopolysaccharide metabolism	Present	Present	Present	Absent
M00065	GPI-anchor biosynthesis, core oligosaccharide	Glycan biosynthesis	Absent	Absent	Absent	Absent
M00066	Lactosylceramide biosynthesis	Lipid metabolism	Absent	Absent	Absent	Absent
M00067	Sulfoglycolipids biosynthesis, ceramide/1-alkyl-2-acylglycerol => sulfatide/seminolipid	Lipid metabolism	Absent	Absent	Absent	Absent
M00068	Glycosphingolipid biosynthesis, globo-series, LacCer => Gb4Cer	Glycan biosynthesis	Absent	Absent	Absent	Absent
M00069	Glycosphingolipid biosynthesis, ganglio series, LacCer => GT3	Glycan biosynthesis	Absent	Absent	Absent	Absent
M00070	Glycosphingolipid biosynthesis, lacto-series, LacCer => Lc4Cer	Glycan biosynthesis	Absent	Absent	Absent	Absent
M00071	Glycosphingolipid biosynthesis, neolacto-series, LacCer => nLc4Cer	Glycan biosynthesis	Absent	Absent	Absent	Absent
M00072	N-glycosylation by oligosaccharyltransferase	Glycan biosynthesis	Absent	Absent	Absent	Absent
M00073	N-glycan precursor trimming	Glycan biosynthesis	Absent	Absent	Absent	Absent
M00074	N-glycan biosynthesis, high-mannose type	Glycan biosynthesis	Absent	Absent	Absent	Absent
M00075	N-glycan biosynthesis, complex type	Glycan biosynthesis	Absent	Absent	Absent	Absent
M00076	Dermatan sulfate degradation	Glycosaminoglycan metabolism	Absent	Absent	Absent	Absent
M00077	Chondroitin sulfate degradation	Glycosaminoglycan metabolism	Absent	Absent	Absent	Absent
M00078	Heparan sulfate degradation	Glycosaminoglycan metabolism	Absent	Absent	Absent	Absent
M00079	Keratan sulfate degradation	Glycosaminoglycan metabolism	Absent	Absent	Absent	Absent
M00080	Lipopolysaccharide biosynthesis, inner core => outer core => O-antigen		Absent	Absent	Absent	Absent
M00081	Pectin degradation	Other carbohydrate metabolism	Absent	Absent	Absent	Absent
M00082	Fatty acid biosynthesis, initiation	Fatty acid biosynthesis and degradation	Present	Present	Present	Present
M00083	Fatty acid biosynthesis, elongation	Fatty acid biosynthesis and degradation	Present	Present	Absent	Present
M00085	Fatty acid biosynthesis, elongation, mitochondria	Fatty acid biosynthesis and degradation	Absent	Absent	Absent	Absent
M00086	beta-Oxidation, acyl-CoA synthesis	Fatty acid biosynthesis and degradation	Present	Present	Present	Present
M00087	beta-Oxidation	Fatty acid biosynthesis and degradation	Absent	Absent	Absent	Absent
M00088	Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone	Lipid metabolism	Absent	Absent	Absent	Absent
M00089	Triacylglycerol biosynthesis	Lipid metabolism	Absent	Absent	Absent	Absent
M00090	Phosphatidylcholine (PC) biosynthesis, choline => PC	Lipid metabolism	Absent	Absent	Absent	Absent
M00091	Phosphatidylcholine (PC) biosynthesis, PE => PC	Lipid metabolism	Absent	Absent	Absent	Absent
M00092	Phosphatidylethanolamine (PE) biosynthesis, ethanolamine => PE	Lipid metabolism	Absent	Absent	Absent	Absent
M00093	Phosphatidylethanolamine (PE) biosynthesis, PA => PS => PE	Lipid metabolism	Present	Present	Absent	Present
M00094	Ceramide biosynthesis	Lipid metabolism	Absent	Absent	Absent	Absent
M00095	C5 isoprenoid biosynthesis, mevalonate pathway	Terpenoid backbone biosynthesis	Absent	Absent	Absent	Absent
M00096	C5 isoprenoid biosynthesis, non-mevalonate pathway	Terpenoid backbone biosynthesis	Present	Present	Present	Absent
M00097	beta-Carotene biosynthesis, GGAP => beta-carotene	Other terpenoid biosynthesis	Absent	Absent	Absent	Absent
M00098	Acylglycerol degradation	Lipid metabolism	Absent	Absent	Absent	Absent
M00099	Sphingosine biosynthesis	Lipid metabolism	Absent	Absent	Absent	Absent
M00100	Sphingosine degradation	Lipid metabolism	Absent	Absent	Absent	Absent
M00101	Cholesterol biosynthesis, squalene 2,3-epoxide => cholesterol	Sterol biosynthesis	Absent	Absent	Absent	Absent
M00102	Ergocalciferol biosynthesis	Sterol biosynthesis	Absent	Absent	Absent	Absent
M00103	Cholecalciferol biosynthesis	Sterol biosynthesis	Absent	Absent	Absent	Absent
M00104	Bile acid biosynthesis, cholesterol => cholate/chenodeoxycholate	Sterol biosynthesis	Absent	Absent	Absent	Absent
M00106	Conjugated bile acid biosynthesis, cholate => taurocholate/glycocholate	Sterol biosynthesis	Absent	Absent	Absent	Absent
M00107	Steroid hormone biosynthesis, cholesterol => prognenolone => progesterone	Sterol biosynthesis	Absent	Absent	Absent	Absent
M00108	C21-Steroid hormone biosynthesis, progesterone => corticosterone/aldosterone	Sterol biosynthesis	Absent	Absent	Absent	Absent
M00109	C21-Steroid hormone biosynthesis, progesterone => cortisol/cortisone	Sterol biosynthesis	Absent	Absent	Absent	Absent
M00110	C19/C18-Steroid hormone biosynthesis, pregnenolone => androstenedione => estrone	Sterol biosynthesis	Absent	Absent	Absent	Absent
M00112	Tocopherol/tocotorienol biosynthesis	Cofactor and vitamin metabolism	Absent	Absent	Absent	Absent
M00113	Jasmonic acid biosynthesis	Lipid metabolism	Absent	Absent	Absent	Absent
M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate	Other carbohydrate metabolism	Absent	Absent	Absent	Absent
M00115	NAD biosynthesis, aspartate => NAD	Cofactor and vitamin metabolism	Present	Present	Present	Present
M00116	Menaquinone biosynthesis, chorismate => menaquinone	Cofactor and vitamin metabolism	Present	Present	Absent	Absent
M00117	Ubiquinone biosynthesis, prokaryotes, chorismate => ubiquinone	Cofactor and vitamin metabolism	Absent	Absent	Absent	Absent
M00118	Glutathione biosynthesis, glutamate => glutathione	Other amino acid metabolism	Present	Present	Present	Present
M00119	Pantothenate biosynthesis, valine/L-aspartate => pantothenate	Cofactor and vitamin metabolism	Present	Present	Present	Absent
M00120	Coenzyme A biosynthesis, pantothenate => CoA	Cofactor and vitamin metabolism	Present	Present	Absent	Present
M00121	Heme biosynthesis, glutamate => protoheme/siroheme	Cofactor and vitamin metabolism	Present	Present	Present	Present
M00122	Cobalamin biosynthesis, cobinamide => cobalamin	Cofactor and vitamin metabolism	Absent	Absent	Present	Present
M00123	Biotin biosynthesis, pimeloyl-ACP/CoA => biotin	Cofactor and vitamin metabolism	Present	Present	Present	Absent
M00124	Pyridoxal biosynthesis, erythrose-4P => pyridoxal-5P	Cofactor and vitamin metabolism	Absent	Absent	Absent	Absent
M00125	Riboflavin biosynthesis, GTP => riboflavin/FMN/FAD	Cofactor and vitamin metabolism	Absent	Absent	Absent	Absent
M00126	Tetrahydrofolate biosynthesis, GTP => THF	Cofactor and vitamin metabolism	Present	Present	Absent	Absent
M00127	Thiamine biosynthesis, AIR => thiamine-P/thiamine-2P	Cofactor and vitamin metabolism	Absent	Present	Present	Absent
M00128	Ubiquinone biosynthesis, eukaryotes, 4-hydroxybenzoate => ubiquinone	Cofactor and vitamin metabolism	Absent	Absent	Absent	Absent
M00129	Ascorbate biosynthesis, animals, glucose-1P => ascorbate	Other carbohydrate metabolism	Absent	Absent	Absent	Absent
M00130	Inositol phosphate metabolism, PI=> PIP2 => Ins(1,4,5)P3 => Ins(1,3,4,5)P4	Other carbohydrate metabolism	Absent	Absent	Absent	Absent
M00131	Inositol phosphate metabolism, Ins(1,3,4,5)P4 => Ins(1,3,4)P3 => myo-inositol	Other carbohydrate metabolism	Absent	Absent	Absent	Absent
M00132	Inositol phosphate metabolism, Ins(1,3,4)P3 => phytate	Other carbohydrate metabolism	Absent	Absent	Absent	Absent
M00133	Polyamine biosynthesis, arginine => agmatine => putrescine => spermidine	Polyamine biosynthesis	Absent	Absent	Absent	Absent
M00134	Polyamine biosynthesis, arginine => ornithine => putrescine	Polyamine biosynthesis	Absent	Absent	Absent	Absent
M00135	GABA biosynthesis, eukaryotes, putrescine => GABA	Polyamine biosynthesis	Absent	Absent	Absent	Absent
M00136	GABA biosynthesis, prokaryotes, putrescine => GABA	Polyamine biosynthesis	Absent	Absent	Absent	Absent
M00137	Flavanone biosynthesis, phenylalanine => naringenin	Biosynthesis of other secondary metabolites	Absent	Absent	Absent	Absent
M00138	Flavonoid biosynthesis, naringenin => pelargonidin	Biosynthesis of other secondary metabolites	Absent	Absent	Absent	Absent
M00140	C1-unit interconversion, prokaryotes	Cofactor and vitamin metabolism	Absent	Absent	Absent	Present
M00141	C1-unit interconversion, eukaryotes	Cofactor and vitamin metabolism	Absent	Absent	Absent	Absent
M00142	NADH:ubiquinone oxidoreductase, mitochondria	ATP synthesis	Absent	Absent	Absent	Absent
M00143	NADH dehydrogenase (ubiquinone) Fe-S protein/flavoprotein complex, mitochondria	ATP synthesis	Absent	Absent	Absent	Absent
M00144	NADH:quinone oxidoreductase, prokaryotes	ATP synthesis	Present	Present	Present	Present
M00145	NAD(P)H:quinone oxidoreductase, chloroplasts and cyanobacteria	ATP synthesis	Absent	Absent	Absent	Absent
M00146	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex	ATP synthesis	Absent	Absent	Absent	Absent
M00147	NADH dehydrogenase (ubiquinone) 1 beta subcomplex	ATP synthesis	Absent	Absent	Absent	Absent
M00148	Succinate dehydrogenase (ubiquinone)	ATP synthesis	Absent	Absent	Absent	Absent
M00149	Succinate dehydrogenase, prokaryotes	ATP synthesis	Present	Present	Present	Present
M00150	Fumarate reductase, prokaryotes	ATP synthesis	Absent	Absent	Absent	Absent
M00151	Cytochrome bc1 complex respiratory unit	ATP synthesis	Present	Present	Present	Present
M00152	Cytochrome bc1 complex	ATP synthesis	Present	Present	Present	Present
M00153	Cytochrome d ubiquinol oxidase	ATP synthesis	Absent	Absent	Absent	Present
M00154	Cytochrome c oxidase	ATP synthesis	Present	Present	Absent	Present
M00155	Cytochrome c oxidase, prokaryotes	ATP synthesis	Present	Present	Absent	Present
M00156	Cytochrome c oxidase, cbb3-type	ATP synthesis	Present	Present	Present	Present
M00157	F-type ATPase, prokaryotes and chloroplasts	ATP synthesis	Present	Present	Present	Present
M00158	F-type ATPase, eukaryotes	ATP synthesis	Absent	Absent	Absent	Absent
M00159	V/A-type ATPase, prokaryotes	ATP synthesis	Absent	Absent	Absent	Absent
M00160	V-type ATPase, eukaryotes	ATP synthesis	Absent	Absent	Absent	Absent
M00161	Photosystem II	Photosynthesis	Absent	Absent	Absent	Absent
M00162	Cytochrome b6f complex	ATP synthesis	Absent	Absent	Absent	Absent
M00163	Photosystem I	Photosynthesis	Absent	Absent	Absent	Absent
M00165	Reductive pentose phosphate cycle (Calvin cycle)	Carbon fixation	Present	Present	Present	Present
M00166	Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P	Carbon fixation	Present	Present	Present	Present
M00167	Reductive pentose phosphate cycle, glyceraldehyde-3P => ribulose-5P	Carbon fixation	Absent	Absent	Absent	Present
M00168	CAM (Crassulacean acid metabolism), dark	Carbon fixation	Absent	Absent	Absent	Absent
M00169	CAM (Crassulacean acid metabolism), light	Carbon fixation	Present	Present	Present	Present
M00170	C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type	Carbon fixation	Absent	Absent	Absent	Absent
M00171	C4-dicarboxylic acid cycle, NAD - malic enzyme type	Carbon fixation	Absent	Absent	Absent	Absent
M00172	C4-dicarboxylic acid cycle, NADP - malic enzyme type	Carbon fixation	Present	Present	Absent	Absent
M00173	Reductive citrate cycle (Arnon-Buchanan cycle)	Carbon fixation	Absent	Absent	Absent	Present
M00174	Methane oxidation, methanotroph, methane => formaldehyde	Methane metabolism	Absent	Absent	Absent	Absent
M00175	Nitrogen fixation, nitrogen => ammonia	Nitrogen metabolism	Absent	Present	Present	Present
M00176	Assimilatory sulfate reduction, sulfate => H2S	Sulfur metabolism	Absent	Absent	Absent	Present
M00177	Ribosome, eukaryotes	Ribosome	Absent	Absent	Absent	Absent
M00178	Ribosome, bacteria	Ribosome	Present	Present	Present	Present
M00179	Ribosome, archaea	Ribosome	Present	Present	Present	Present
M00180	RNA polymerase II, eukaryotes	RNA polymerase	Absent	Absent	Absent	Absent
M00181	RNA polymerase III, eukaryotes	RNA polymerase	Absent	Absent	Absent	Absent
M00182	RNA polymerase I, eukaryotes	RNA polymerase	Absent	Absent	Absent	Absent
M00183	RNA polymerase, bacteria	RNA polymerase	Present	Present	Present	Present
M00184	RNA polymerase, archaea	RNA polymerase	Absent	Absent	Absent	Absent
M00185	Sulfate transport system	Mineral and organic ion transport system	Absent	Absent	Absent	Present
M00186	Tungstate transport system	Mineral and organic ion transport system	Absent	Absent	Absent	Present
M00188	NitT/TauT family transport system	Mineral and organic ion transport system	Present	Present	Present	Present
M00189	Molybdate transport system	Mineral and organic ion transport system	Present	Present	Present	Present
M00190	Iron(III) transport system	Mineral and organic ion transport system	Absent	Absent	Present	Present
M00191	Thiamine transport system	Mineral and organic ion transport system	Absent	Absent	Absent	Absent
M00192	Putative thiamine transport system	Mineral and organic ion transport system	Absent	Absent	Absent	Absent
M00193	Putative spermidine/putrescine transport system	Mineral and organic ion transport system	Absent	Present	Absent	Present
M00194	Maltose/maltodextrin transport system	Saccharide, polyol, and lipid transport system	Absent	Absent	Absent	Present
M00196	Raffinose/stachyose/melibiose transport system	Saccharide, polyol, and lipid transport system	Absent	Absent	Absent	Present
M00197	Putative fructooligosaccharide transport system	Saccharide, polyol, and lipid transport system	Absent	Absent	Absent	Present
M00198	Putative sn-glycerol-phosphate transport system	Saccharide, polyol, and lipid transport system	Absent	Absent	Absent	Present
M00199	L-Arabinose/lactose transport system	Saccharide, polyol, and lipid transport system	Absent	Absent	Absent	Absent
M00200	Putative sorbitol/mannitol transport system	Saccharide, polyol, and lipid transport system	Absent	Absent	Absent	Present
M00201	alpha-Glucoside transport system	Saccharide, polyol, and lipid transport system	Absent	Absent	Absent	Present
M00202	Oligogalacturonide transport system	Saccharide, polyol, and lipid transport system	Absent	Absent	Absent	Absent
M00203	Glucose/arabinose transport system	Saccharide, polyol, and lipid transport system	Absent	Absent	Absent	Absent
M00204	Trehalose/maltose transport system	Saccharide, polyol, and lipid transport system	Absent	Absent	Absent	Present
M00205	N-Acetylglucosamine transport system	Saccharide, polyol, and lipid transport system	Absent	Absent	Absent	Absent
M00206	Cellobiose transport system	Saccharide, polyol, and lipid transport system	Absent	Absent	Absent	Present
M00207	Putative multiple sugar transport system	Saccharide, polyol, and lipid transport system	Absent	Absent	Absent	Present
M00208	Glycine betaine/proline transport system	Mineral and organic ion transport system	Absent	Absent	Absent	Present
M00209	Osmoprotectant transport system	Mineral and organic ion transport system	Absent	Absent	Absent	Absent
M00210	Phospholipid transport system	Saccharide, polyol, and lipid transport system	Present	Present	Present	Present
M00211	Putative ABC transport system	Saccharide, polyol, and lipid transport system	Absent	Absent	Absent	Absent
M00212	Ribose transport system	Saccharide, polyol, and lipid transport system	Absent	Absent	Absent	Absent
M00213	L-Arabinose transport system	Saccharide, polyol, and lipid transport system	Absent	Absent	Absent	Absent
M00214	Methyl-galactoside transport system	Saccharide, polyol, and lipid transport system	Absent	Absent	Absent	Absent
M00215	D-Xylose transport system	Saccharide, polyol, and lipid transport system	Absent	Absent	Absent	Present
M00216	Multiple sugar transport system	Saccharide, polyol, and lipid transport system	Absent	Absent	Absent	Absent
M00217	D-Allose transport system	Saccharide, polyol, and lipid transport system	Absent	Absent	Absent	Absent
M00218	Fructose transport system	Saccharide, polyol, and lipid transport system	Absent	Absent	Absent	Absent
M00219	AI-2 transport system	Saccharide, polyol, and lipid transport system	Absent	Absent	Absent	Absent
M00220	Rhamnose transport system	Saccharide, polyol, and lipid transport system	Absent	Absent	Absent	Absent
M00221	Putative simple sugar transport system	Saccharide, polyol, and lipid transport system	Absent	Absent	Absent	Present
M00222	Phosphate transport system	Phosphate and amino acid transport system	Present	Present	Present	Present
M00223	Phosphonate transport system	Phosphate and amino acid transport system	Present	Present	Present	Present
M00224	Fluoroquinolone transport system	ABC-2 type and other transport systems	Absent	Absent	Absent	Absent
M00225	Lysine/arginine/ornithine transport system	Phosphate and amino acid transport system	Absent	Absent	Absent	Absent
M00226	Histidine transport system	Phosphate and amino acid transport system	Absent	Absent	Absent	Absent
M00227	Glutamine transport system	Phosphate and amino acid transport system	Absent	Absent	Absent	Absent
M00228	Putative glutamine transport system	Phosphate and amino acid transport system	Absent	Absent	Absent	Absent
M00229	Arginine transport system	Phosphate and amino acid transport system	Absent	Absent	Absent	Absent
M00230	Glutamate/aspartate transport system	Phosphate and amino acid transport system	Absent	Absent	Absent	Absent
M00231	Octopine/nopaline transport system	Phosphate and amino acid transport system	Absent	Absent	Absent	Absent
M00232	General L-amino acid transport system	Phosphate and amino acid transport system	Absent	Absent	Absent	Present
M00233	Glutamate transport system	Phosphate and amino acid transport system	Absent	Absent	Absent	Absent
M00234	Cystine transport system	Phosphate and amino acid transport system	Absent	Absent	Absent	Absent
M00235	Arginine/ornithine transport system	Phosphate and amino acid transport system	Absent	Absent	Absent	Absent
M00236	Putative polar amino acid transport system	Phosphate and amino acid transport system	Present	Present	Present	Present
M00237	Branched-chain amino acid transport system	Phosphate and amino acid transport system	Present	Present	Present	Present
M00238	D-Methionine transport system	Phosphate and amino acid transport system	Absent	Absent	Absent	Absent
M00239	Peptides/nickel transport system	Peptide and nickel transport system	Present	Present	Present	Present
M00240	Iron complex transport system	Metallic cation, iron-siderophore and vitamin B12 transport system	Present	Present	Present	Present
M00241	Vitamin B12 transport system	Metallic cation, iron-siderophore and vitamin B12 transport system	Absent	Absent	Absent	Absent
M00242	Zinc transport system	Metallic cation, iron-siderophore and vitamin B12 transport system	Absent	Absent	Absent	Present
M00243	Manganese/iron transport system	Metallic cation, iron-siderophore and vitamin B12 transport system	Absent	Absent	Absent	Absent
M00244	Putative zinc/manganese transport system	Metallic cation, iron-siderophore and vitamin B12 transport system	Absent	Absent	Absent	Present
M00245	Cobalt/nickel transport system	Metallic cation, iron-siderophore and vitamin B12 transport system	Present	Present	Absent	Present
M00246	Nickel transport system	Metallic cation, iron-siderophore and vitamin B12 transport system	Present	Present	Absent	Present
M00247	Putative ABC transport system	Metallic cation, iron-siderophore and vitamin B12 transport system	Absent	Absent	Absent	Absent
M00249	Capsular polysaccharide transport system	ABC-2 type and other transport systems	Absent	Absent	Absent	Present
M00250	Lipopolysaccharide transport system	ABC-2 type and other transport systems	Present	Present	Present	Absent
M00251	Teichoic acid transport system	ABC-2 type and other transport systems	Absent	Absent	Absent	Absent
M00252	Lipooligosaccharide transport system	ABC-2 type and other transport systems	Present	Present	Present	Absent
M00253	Sodium transport system	ABC-2 type and other transport systems	Absent	Absent	Absent	Absent
M00254	ABC-2 type transport system	ABC-2 type and other transport systems	Present	Present	Present	Present
M00255	Lipoprotein-releasing system	ABC-2 type and other transport systems	Present	Present	Present	Present
M00256	Cell division transport system	ABC-2 type and other transport systems	Present	Present	Present	Present
M00257	Hemin transport system	ABC-2 type and other transport systems	Absent	Absent	Absent	Absent
M00258	Putative ABC transport system	ABC-2 type and other transport systems	Present	Present	Present	Present
M00259	Heme transport system	ABC-2 type and other transport systems	Present	Present	Present	Present
M00260	DNA polymerase III complex, bacteria	DNA polymerase	Present	Present	Present	Present
