#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
k99_2141_10          -          K07570               -            4.3e-69  230.0  14.2   1.9e-19   69.5   0.0   5.9   2   1   4   6   6   0   4 # 10382 # 12103 # 1 # ID=207_10;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.591
NZ_DF967533.1_37     -          K07570               -            1.2e-67  225.4  13.8   1.9e-19   69.6   0.0   5.9   2   1   4   6   6   0   4 # 34413 # 36131 # -1 # ID=65_37;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.561
NC_022357.1_1022     -          K07570               -            1.5e-66  221.8  14.0   1.2e-18   67.0   0.0   5.9   2   1   4   6   6   0   4 # 1039793 # 1041511 # 1 # ID=1_1022;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.543
NZ_DF967533.1_18     -          K07570               -              2e-20   72.7   0.0     4e-20   71.7   0.0   1.4   1   0   0   1   1   0   1 # 17493 # 19802 # -1 # ID=65_18;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.623
NC_022357.1_1040     -          K07570               -              3e-20   72.2   0.0   6.2e-20   71.1   0.0   1.5   1   0   0   1   1   0   1 # 1058544 # 1060874 # 1 # ID=1_1040;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.625
NC_022358.1_16       -          K07570               -            3.1e-20   72.1   0.0   5.7e-20   71.2   0.0   1.3   1   0   0   1   1   0   1 # 13870 # 16176 # -1 # ID=2_16;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.571
k99_2306_5           -          K07570               -            5.1e-19   68.2   0.0   9.5e-19   67.3   0.0   1.3   1   0   0   1   1   0   1 # 4157 # 6532 # -1 # ID=267_5;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.713
NZ_DF967537.1_62     -          K07570               -            2.9e-17   62.5   0.1   1.6e-16   60.1   0.0   2.1   2   0   0   2   2   0   1 # 63325 # 65448 # -1 # ID=61_62;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.550
NC_022357.1_1677     -          K07570               -            3.6e-17   62.2   0.2   1.9e-16   59.9   0.1   2.0   2   0   0   2   2   0   1 # 1732950 # 1735073 # -1 # ID=1_1677;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.553
k99_1722_7           -          K07570               -            1.3e-16   60.4   0.1   3.2e-16   59.1   0.0   1.6   2   0   0   2   2   0   1 # 6708 # 8831 # 1 # ID=148_7;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.584
k99_2117_5           -          K07570               -            3.5e-14   52.5   1.7   6.9e-14   51.6   0.0   2.3   3   0   0   3   3   0   1 # 3341 # 5476 # -1 # ID=238_5;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.662
NZ_DF967528.1_76     -          K07570               -            1.7e-08   34.1   2.9   3.6e-08   33.1   0.9   2.4   2   1   0   2   2   0   1 # 75168 # 77528 # -1 # ID=70_76;partial=00;start_type=TTG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.592
k99_604_26           -          K07570               -            7.6e-08   32.1   1.1   5.6e-07   29.3   0.1   2.6   2   1   0   2   2   0   1 # 26195 # 28510 # 1 # ID=52_26;partial=00;start_type=TTG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.618
NC_022357.1_1750     -          K07570               -              2e-07   30.7   2.6   4.3e-07   29.6   0.6   2.6   2   1   0   2   2   0   1 # 1814068 # 1816428 # -1 # ID=1_1750;partial=00;start_type=TTG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.586
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /slowdata/data1/Genome_profile_software/kofam_database/profiles/K07570.hmm
# Target file:     S_denitrificans_genomes//total.faa
# Option settings: hmmsearch --tblout S_denitrificans_METABOLIC-G_out/intermediate_files/Hmmsearch_Outputs/K07570.hmm.total.hmmsearch_result.txt --domT 125.80 --cpu 1 /slowdata/data1/Genome_profile_software/kofam_database/profiles/K07570.hmm S_denitrificans_genomes//total.faa 
# Current dir:     /slowdata/data3/Northwestern_Metagenomes
# Date:            Mon Sep 21 03:07:50 2020
# [ok]
