#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
k99_1469_68          -          K01903               -           1.2e-172  574.0   2.0  1.3e-172  573.9   2.0   1.0   1   0   0   1   1   1   1 # 69705 # 70901 # -1 # ID=162_68;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.658
k99_441_3            -          K01903               -           1.7e-170  567.0   6.8  1.8e-170  566.8   6.8   1.0   1   0   0   1   1   1   1 # 854 # 2014 # 1 # ID=42_3;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.649
NZ_DF967528.1_158    -          K01903               -           6.9e-169  561.6   6.3  7.7e-169  561.5   6.3   1.0   1   0   0   1   1   1   1 # 153869 # 155029 # -1 # ID=70_158;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.617
NC_022357.1_1805     -          K01903               -           1.7e-167  557.1   7.0  1.9e-167  556.9   7.0   1.0   1   0   0   1   1   1   1 # 1869306 # 1870466 # -1 # ID=1_1805;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.593
NC_022357.1_1901     -          K01903               -            6.9e-16   57.5   0.0   3.8e-08   31.9   0.0   3.3   1   1   1   3   3   0   3 # 1975472 # 1978150 # 1 # ID=1_1901;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.616
NZ_DF967585.1_18     -          K01903               -            1.1e-15   56.8   0.1   3.6e-08   32.0   0.0   3.4   1   1   2   3   3   0   3 # 15866 # 18544 # 1 # ID=13_18;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.616
k99_1124_1           -          K01903               -            1.6e-15   56.2   0.0     6e-08   31.3   0.0   3.3   2   1   1   3   3   0   3 # 113 # 2830 # -1 # ID=89_1;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.620
k99_2318_6           -          K01903               -            4.9e-11   41.5   1.3   7.8e-05   21.0   0.6   2.7   2   1   0   2   2   0   2 # 6205 # 8931 # -1 # ID=271_6;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.692
NZ_DF967523.1_2      -          K01903               -            3.8e-07   28.6   0.0     6e-07   28.0   0.0   1.2   1   0   0   1   1   0   1 # 2733 # 4892 # -1 # ID=75_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.605
NC_022357.1_673      -          K01903               -            4.6e-07   28.4   0.0   7.1e-07   27.7   0.0   1.2   1   0   0   1   1   0   1 # 683370 # 685529 # -1 # ID=1_673;partial=00;start_type=ATG;rbs_motif=4Base/6BMM;rbs_spacer=13-15bp;gc_cont=0.611
k99_1200_6           -          K01903               -            6.9e-07   27.8   0.0   1.1e-06   27.1   0.0   1.2   1   0   0   1   1   0   1 # 5322 # 7958 # -1 # ID=97_6;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.664
k99_1157_6           -          K01903               -            3.5e-05   22.2   0.1   5.4e-05   21.6   0.1   1.2   1   0   0   1   1   0   1 # 4675 # 5967 # 1 # ID=93_6;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.645
NC_022357.1_672      -          K01903               -            5.4e-05   21.5   0.0    0.0001   20.6   0.0   1.4   1   0   0   1   1   0   1 # 680757 # 683321 # -1 # ID=1_672;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.614
NZ_DF967523.1_1      -          K01903               -            0.00011   20.6   0.0    0.0002   19.6   0.0   1.4   1   0   0   1   1   0   1 # 110 # 2674 # -1 # ID=75_1;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.619
k99_1200_5           -          K01903               -            0.00018   19.9   0.1   0.00029   19.1   0.1   1.2   1   0   0   1   1   0   1 # 2708 # 5278 # -1 # ID=97_5;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.659
NC_022357.1_912      -          K01903               -            0.00035   18.9   0.0      0.11   10.6   0.0   2.3   2   0   0   2   2   0   2 # 927495 # 930758 # 1 # ID=1_912;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.601
NC_022357.1_37       -          K01903               -            0.00064   18.0   0.1     0.001   17.4   0.1   1.2   1   0   0   1   1   0   1 # 46128 # 47423 # -1 # ID=1_37;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.627
