Module step	Module	KO id	Module Category	GCF_000297055.2_ASM29705v2_genomic Module step presence	GCF_000971475.1_ASM97147v1_genomic Module step presence	bin_1_Betaproteobacteria Module step presence	bin_2_Rhizobiales Module step presence
M00001+01	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	(K00844,K12407,K00845,K00886,K08074,K00918)	Central carbohydrate metabolism	Present	Present	Present	Present
M00001+02	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	(K01810,K06859,K13810,K15916)	Central carbohydrate metabolism	Present	Present	Present	Present
M00001+03	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	(K00850,K16370,K00918)	Central carbohydrate metabolism	Present	Present	Present	Present
M00001+04	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	(K01623,K01624,K11645,K16305,K16306)	Central carbohydrate metabolism	Present	Present	Present	Present
M00001+05	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	K01803	Central carbohydrate metabolism	Present	Present	Present	Present
M00001+06	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	((K00134,K00150)	Central carbohydrate metabolism	Present	Present	Present	Present
M00001+07	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	K00927,K11389)	Central carbohydrate metabolism	Present	Present	Present	Present
M00001+08	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	(K01834,K15633,K15634,K15635)	Central carbohydrate metabolism	Present	Present	Present	Present
M00001+09	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	K01689	Central carbohydrate metabolism	Present	Present	Present	Present
M00001+10	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	(K00873,K12406)	Central carbohydrate metabolism	Present	Present	Present	Present
M00002+01	Glycolysis, core module involving three-carbon compounds	K01803	Central carbohydrate metabolism	Present	Present	Present	Present
M00002+02	Glycolysis, core module involving three-carbon compounds	((K00134,K00150)	Central carbohydrate metabolism	Present	Present	Present	Present
M00002+03	Glycolysis, core module involving three-carbon compounds	K00927,K11389)	Central carbohydrate metabolism	Present	Present	Present	Present
M00002+04	Glycolysis, core module involving three-carbon compounds	(K01834,K15633,K15634,K15635)	Central carbohydrate metabolism	Present	Present	Present	Present
M00002+05	Glycolysis, core module involving three-carbon compounds	K01689	Central carbohydrate metabolism	Present	Present	Present	Present
M00002+06	Glycolysis, core module involving three-carbon compounds	(K00873,K12406)	Central carbohydrate metabolism	Present	Present	Present	Present
M00003+01	Gluconeogenesis, oxaloacetate => fructose-6P	(K01596,K01610)	Central carbohydrate metabolism	Absent	Absent	Present	Present
M00003+02	Gluconeogenesis, oxaloacetate => fructose-6P	K01689	Central carbohydrate metabolism	Absent	Absent	Present	Present
M00003+03	Gluconeogenesis, oxaloacetate => fructose-6P	(K01834,K15633,K15634,K15635)	Central carbohydrate metabolism	Absent	Absent	Present	Present
M00003+04	Gluconeogenesis, oxaloacetate => fructose-6P	K00927 (K00134,K00150)	Central carbohydrate metabolism	Absent	Absent	Present	Present
